# Spatial-averaged data for fix vpave and group all
# Timestep Number-of-bins
# Bin Coord Ncount vx
1550000000 20
  9 0.425 187.768 0.00128817
  10 0.475 187.138 0.00128608
  11 0.525 188.057 0.00128711
  12 0.575 187.152 0.00128793
  13 0.625 187.907 0.00128766
  14 0.675 187.737 0.00128628
  15 0.725 187.051 0.00128658
  16 0.775 187.119 0.00128877
  17 0.825 187.703 0.00128731
  18 0.875 187.804 0.00128817
  19 0.925 187.555 0.0012887
  20 0.975 186.795 0.00128773
2250000000 20
  1 0.025 186.976 0.00130326
  2 0.075 187.682 0.00130413
  3 0.125 187.705 0.00130154
  4 0.175 187.759 0.00130409
  5 0.225 187.552 0.00130218
  6 0.275 186.731 0.00130311
  7 0.325 188.058 0.00130225
  8 0.375 188.248 0.00130453
  9 0.425 188.322 0.00130421
  10 0.475 186.668 0.00130257
  11 0.525 187.253 0.00130358
  12 0.575 188.297 0.00130264
  13 0.625 186.818 0.0013051
  14 0.675 187.526 0.00130476
  15 0.725 187.172 0.00130265
  16 0.775 187.37 0.00130599
  17 0.825 187.167 0.00130365
  18 0.875 187.852 0.00130409
  19 0.925 187.227 0.00130373
  20 0.975 187.617 0.00130426
2300000000 20
  1 0.025 187.908 0.00131856
  2 0.075 187.579 0.00131741
  3 0.125 187.905 0.00131771
  4 0.175 187.506 0.00131753
  5 0.225 186.995 0.00131807
  6 0.275 188.196 0.00131908
  7 0.325 187.352 0.00131606
  8 0.375 186.798 0.00131843
  9 0.425 187.884 0.00131908
  10 0.475 187.502 0.00131907
  11 0.525 186.767 0.0013178
  12 0.575 187.96 0.00132002
  13 0.625 187.404 0.0013178
  14 0.675 187.821 0.00132087
  15 0.725 187.065 0.00131826
  16 0.775 187.4 0.00131976
  17 0.825 187.692 0.00131904
  18 0.875 187.288 0.00131932
  19 0.925 188.262 0.00131938
  20 0.975 186.716 0.00132044
2350000000 20
  1 0.025 188.404 0.00132898
  2 0.075 186.998 0.00132739
  3 0.125 187.522 0.00133137
  4 0.175 187.419 0.00133001
  5 0.225 187.853 0.00133099
  6 0.275 187.073 0.00133134
  7 0.325 187.775 0.00132981
  8 0.375 187.048 0.00133179
  9 0.425 188.298 0.00133197
  10 0.475 187.075 0.00133057
  11 0.525 187.343 0.00133184
  12 0.575 187.861 0.00133018
  13 0.625 187.173 0.00133048
  14 0.675 187.779 0.00133377
  15 0.725 187.076 0.00133241
  16 0.775 186.835 0.00132951
  17 0.825 187.82 0.00133315
  18 0.875 187.63 0.00133338
  19 0.925 187.678 0.00133125
  20 0.975 187.34 0.00133417
2400000000 20
  1 0.025 187.757 0.00134481
  2 0.075 186.905 0.00134583
  3 0.125 187.869 0.00134513
  4 0.175 187.005 0.00134567
  5 0.225 187.153 0.00134599
  6 0.275 187.464 0.00134717
  7 0.325 187.53 0.00134378
  8 0.375 187.779 0.0013452
  9 0.425 187.238 0.00134562
  10 0.475 188.147 0.00134637
  11 0.525 187.486 0.00134639
  12 0.575 187.747 0.00134667
  13 0.625 187.104 0.00134613
  14 0.675 188.117 0.00134625
  15 0.725 188.082 0.00134649
  16 0.775 187.502 0.00134772
  17 0.825 187.447 0.00134488
  18 0.875 187.271 0.00134943
  19 0.925 187.157 0.00134484
  20 0.975 187.238 0.00134761
