# Spatial-averaged data for fix vpave and group all
# Timestep Number-of-bins
# Bin Coord Ncount vx
1550000000 20
  1 0.025 187.658 0.00103776
  2 0.075 187.512 0.00103623
  3 0.125 187.873 0.00103812
  4 0.175 187.112 0.00103692
  5 0.225 187.566 0.00103518
  6 0.275 187.937 0.00103589
  7 0.325 187.433 0.00103932
  8 0.375 187.459 0.00103727
  9 0.425 188.66 0.00103478
  10 0.475 186.863 0.00103713
  11 0.525 187.852 0.00103828
  12 0.575 187.013 0.00103655
  13 0.625 187.575 0.00103698
  14 0.675 187.312 0.00104005
  15 0.725 187.644 0.00103667
  16 0.775 186.799 0.00103903
  17 0.825 187.607 0.00103833
  18 0.875 187.069 0.00103814
  19 0.925 187.376 0.00103775
  20 0.975 187.679 0.00103678
1600000000 20
  1 0.025 187.004 0.00106006
  2 0.075 187.654 0.00106057
  3 0.125 187.373 0.0010602
  4 0.175 188.548 0.00106096
  5 0.225 186.857 0.00106045
  6 0.275 188.018 0.00105837
  7 0.325 186.934 0.00106235
  8 0.375 187.669 0.00106092
  9 0.425 186.959 0.001062
  10 0.475 187.662 0.00106201
  11 0.525 187.487 0.00106125
  12 0.575 187.361 0.001059
  13 0.625 186.727 0.00106116
  14 0.675 187.809 0.00106197
  15 0.725 187.369 0.00106168
  16 0.775 187.467 0.00106129
  17 0.825 187.791 0.00106219
  18 0.875 187.37 0.00106254
  19 0.925 187.997 0.00106192
  20 0.975 187.944 0.00106254
1650000000 20
  1 0.025 187.679 0.00108426
  2 0.075 186.932 0.00108083
  3 0.125 187.746 0.00108434
  4 0.175 188.21 0.00108573
  5 0.225 187.85 0.00108644
  6 0.275 187.468 0.00108305
  7 0.325 187.232 0.00108232
  8 0.375 188.096 0.00108609
  9 0.425 186.585 0.00108353
  10 0.475 188.054 0.00108657
  11 0.525 187.238 0.00108353
  12 0.575 187.674 0.00108584
  13 0.625 187.384 0.00108349
  14 0.675 187.374 0.00108599
  15 0.725 187.268 0.0010858
  16 0.775 186.964 0.00108458
  17 0.825 187.629 0.00108454
  18 0.875 187.495 0.00108664
  19 0.925 188.002 0.00108414
  20 0.975 187.121 0.0010856
1700000000 20
  1 0.025 187.322 0.00110644
  2 0.075 187.598 0.00110353
  3 0.125 186.94 0.00110393
  4 0.175 187.743 0.00110563
  5 0.225 187.878 0.00110526
  6 0.275 187.407 0.00110641
  7 0.325 187.635 0.00110377
  8 0.375 187.499 0.00110799
  9 0.425 187.001 0.00110352
  10 0.475 187.626 0.00110511
  11 0.525 187.046 0.00110589
  12 0.575 187.879 0.00110677
  13 0.625 187.479 0.00110455
  14 0.675 187.921 0.00110732
  15 0.725 187.003 0.00110565
  16 0.775 188.278 0.00110631
  17 0.825 187.33 0.00110809
  18 0.875 187.505 0.00110626
  19 0.925 187.464 0.00110432
  20 0.975 187.446 0.00110691
1750000000 20
  1 0.025 187.123 0.00112351
  2 0.075 187.689 0.0011237
  3 0.125 187.502 0.00112146
  4 0.175 187.23 0.00112376
  5 0.225 188.09 0.00112452
  6 0.275 186.983 0.0011221
  7 0.325 187.467 0.00112667
  8 0.375 187.455 0.00112277
  9 0.425 187.634 0.00112331
  10 0.475 187.428 0.00112357
  11 0.525 187.637 0.00112701
  12 0.575 187.682 0.00112445
  13 0.625 187.588 0.0011243
  14 0.675 186.686 0.00112552
  15 0.725 187.777 0.00112473
  16 0.775 187.668 0.00112451
  17 0.825 187.4 0.00112264
  18 0.875 187.916 0.0011256
  19 0.925 187.276 0.00112715
  20 0.975 187.769 0.00112405
1800000000 20
  1 0.025 188.02 0.00114375
  2 0.075 186.678 0.00114197
  3 0.125 187.507 0.00114382
  4 0.175 187.449 0.00114455
  5 0.225 187.855 0.00114311
  6 0.275 187.609 0.00114161
  7 0.325 187.379 0.00114453
  8 0.375 188.007 0.00114667
  9 0.425 187.159 0.00114199
  10 0.475 187.132 0.00114327
  11 0.525 186.679 0.00114417
  12 0.575 187.678 0.00114482
  13 0.625 187.258 0.00114639
  14 0.675 187.746 0.00114306
  15 0.725 187.512 0.00114342
  16 0.775 188.104 0.00114605
  17 0.825 187.445 0.00114491
  18 0.875 188.036 0.00114621
  19 0.925 187.447 0.00114544
  20 0.975 187.301 0.0011458
1850000000 20
  1 0.025 187.552 0.00116175
  2 0.075 187.884 0.00116321
  3 0.125 187.249 0.00116299
  4 0.175 188.62 0.00116122
  5 0.225 187.237 0.00116432
  6 0.275 187.593 0.00116174
  7 0.325 187.238 0.00116207
  8 0.375 187.449 0.00116222
  9 0.425 187.757 0.00116212
  10 0.475 187.58 0.0011636
  11 0.525 187.436 0.00116205
  12 0.575 187.704 0.0011633
  13 0.625 187.126 0.00116255
  14 0.675 187.35 0.00116278
  15 0.725 187.242 0.00116298
  16 0.775 187.175 0.00116384
  17 0.825 186.974 0.0011652
  18 0.875 188.198 0.00116492
  19 0.925 186.501 0.00116268
  20 0.975 188.137 0.00116369
1900000000 20
  1 0.025 187.412 0.00118213
  2 0.075 187.192 0.00118022
  3 0.125 187.314 0.00118063
  4 0.175 188.059 0.00118019
  5 0.225 186.67 0.00118141
  6 0.275 187.75 0.00118031
  7 0.325 187.13 0.00118005
  8 0.375 187.75 0.00118005
  9 0.425 187.852 0.00118003
  10 0.475 187.456 0.00118318
  11 0.525 187.647 0.00118332
  12 0.575 186.703 0.00118083
  13 0.625 188.039 0.00118102
  14 0.675 187.053 0.00118245
  15 0.725 188.283 0.00118172
  16 0.775 186.75 0.00118361
  17 0.825 188.629 0.00118145
  18 0.875 187.406 0.00118065
  19 0.925 187.669 0.00118228
  20 0.975 187.236 0.00118113
1950000000 20
  1 0.025 187.972 0.00119864
  2 0.075 187.35 0.00120151
  3 0.125 187.136 0.0011977
  4 0.175 187.618 0.00120084
  5 0.225 187.853 0.001199
  6 0.275 187.536 0.00119891
  7 0.325 187.435 0.00119893
  8 0.375 187.337 0.0012005
  9 0.425 187.407 0.00120012
  10 0.475 187.507 0.00119916
  11 0.525 187.818 0.00120043
  12 0.575 187.847 0.00120139
  13 0.625 186.865 0.00119915
  14 0.675 187.212 0.00120156
  15 0.725 187.548 0.00120031
  16 0.775 188.214 0.00120229
  17 0.825 187.312 0.00120048
  18 0.875 187.536 0.00120079
  19 0.925 187.25 0.00120027
  20 0.975 187.247 0.0012003
2000000000 20
  1 0.025 187.792 0.0012163
  2 0.075 187.234 0.00121792
  3 0.125 187.167 0.00121625
  4 0.175 188.122 0.00121566
  5 0.225 187.657 0.00121917
  6 0.275 187.061 0.00121835
  7 0.325 187.715 0.00121775
  8 0.375 187.313 0.00121638
  9 0.425 187.515 0.00121862
  10 0.475 187.402 0.00121756
  11 0.525 187.742 0.0012182
  12 0.575 187.667 0.00121592
  13 0.625 187.691 0.00121891
  14 0.675 187.814 0.0012185
  15 0.725 187.389 0.00121647
  16 0.775 187.936 0.00121955
  17 0.825 187.634 0.00121966
  18 0.875 187.513 0.00121908
  19 0.925 186.771 0.0012167
  20 0.975 186.865 0.00121876
2050000000 20
  1 0.025 186.994 0.0012331
  2 0.075 186.87 0.00123544
  3 0.125 187.899 0.00123453
  4 0.175 187.02 0.00123377
  5 0.225 187.013 0.00123462
  6 0.275 187.836 0.00123568
  7 0.325 187.238 0.00123584
  8 0.375 187.954 0.00123619
  9 0.425 188.273 0.00123489
  10 0.475 187.108 0.00123803
  11 0.525 187.897 0.0012354
  12 0.575 187.716 0.00123645
  13 0.625 187.14 0.00123427
  14 0.675 188.057 0.00123713
  15 0.725 187.417 0.00123441
  16 0.775 187.659 0.001237
  17 0.825 187.318 0.00123687
  18 0.875 187.659 0.00124028
  19 0.925 187.903 0.00123386
  20 0.975 187.028 0.00123804
2100000000 20
  1 0.025 187.902 0.001252
  2 0.075 187.33 0.00125657
  3 0.125 187.308 0.00125458
  4 0.175 187.383 0.00125383
  5 0.225 187.46 0.00125633
  6 0.275 186.431 0.0012529
  7 0.325 188.14 0.00125378
  8 0.375 187.406 0.00125487
  9 0.425 187.18 0.00125486
  10 0.475 188.031 0.00125424
  11 0.525 187.575 0.00125433
  12 0.575 187.496 0.00125383
  13 0.625 187.622 0.00125432
  14 0.675 187.028 0.00125662
  15 0.725 188.547 0.00125714
  16 0.775 186.813 0.0012553
  17 0.825 187.768 0.0012562
  18 0.875 187.099 0.00125418
  19 0.925 188.022 0.0012553
  20 0.975 187.46 0.00125635
2150000000 20
  1 0.025 187.703 0.0012713
  2 0.075 188.063 0.00126954
  3 0.125 187.552 0.0012696
  4 0.175 187.575 0.00127034
  5 0.225 186.527 0.00127096
  6 0.275 187.384 0.00127127
  7 0.325 187.807 0.00127378
  8 0.375 188.157 0.00126928
  9 0.425 186.985 0.00127067
  10 0.475 186.905 0.00127072
  11 0.525 187.465 0.00127329
  12 0.575 187.551 0.00127271
  13 0.625 187.876 0.00127046
  14 0.675 187.045 0.00126982
  15 0.725 187.042 0.00127277
  16 0.775 187.999 0.00127143
  17 0.825 187.621 0.00127318
  18 0.875 187.503 0.00127412
  19 0.925 188.226 0.00127088
  20 0.975 187.012 0.00127305
2200000000 20
  1 0.025 187.868 0.00128598
  2 0.075 187.17 0.0012845
  3 0.125 188.153 0.00128651
  4 0.175 187.409 0.00128565
  5 0.225 188.09 0.00128665
  6 0.275 187.158 0.00128548
  7 0.325 187.824 0.0012874
  8 0.375 186.541 0.00128629
