   35000        35000    288.54675       107143    -364.7977   0.81907956    -981.3317    2243.1947   -131.31289   -795.51189    -167.5683   -295.29528   -682.68394   -811.62063    288.54675 
   36000        36000    299.18489       107143   -632.18404   0.81907956   -906.92891    2436.4792   -1020.7227   -1214.7681    338.93866   -376.10811    111.25502    153.94713    299.18489 
   37000        37000    286.02298       107143   -248.32512   0.81907956   -935.19548    2261.1276   -283.95371   -460.18394  -0.83770745   -387.10046   -665.30609    185.50671    286.02298 
   38000        38000    289.72062       107143   -220.33663   0.81907956   -1038.9649    2198.6794   -259.36535    249.03999   -650.68454    301.11955    404.93937    596.90238    289.72062 
   39000        39000    296.73608       107143   -520.56735   0.81907956   -869.26002    2446.7826    -385.2995    -720.6675   -455.73504    -578.9521   -45.633736   -735.05337    296.73608 
   40000        40000    295.53773       107143    313.79219   0.81907956   -968.41332    2334.2376   -559.74192    322.07051     1179.048   -295.26245    348.63775    288.89014    295.53773 
   41000        41000    287.02329       107143   -372.35207   0.81907956   -989.00581    2218.4957   -1033.4775   -393.83476    310.25608     53.58516    35.807391    422.81083    287.02329 
   42000        42000    301.51769       107143   -755.07087   0.81907956   -861.97069    2507.5067   -825.71928   -543.12483   -896.36849   -332.06136    237.29453    100.20436    301.51769 
   43000        43000     290.3644       107143   -494.54682   0.81907956    -997.1779    2247.6608    -827.0368    446.35848   -1102.9621   -898.87948   -76.098914   -531.94865     290.3644 
   44000        44000    289.83527       107143    200.14102   0.81907956   -840.77061     2398.155   -124.47311     724.8962 -2.4453946e-05    244.20166   -365.83632    376.10155    289.83527 
   45000        45000    289.86946       107143     182.8038   0.81907956   -856.53164    2382.7761    704.72006    173.29014   -329.59882   -502.39202   -540.13509    504.53653    289.86946 
   46000        46000    289.05681       107143    235.81292   0.81907956   -906.22408    2324.0022   -845.65197    328.79682    1224.2939   -344.76062    -265.5115     467.9723    289.05681 
   47000        47000    294.80336       107143    441.33389   0.81907956    -909.7914    2384.6529     146.5707    458.26381    719.16715   -787.77875   -383.59551   -514.23093    294.80336 
   48000        48000    294.05769       107143   -165.79206   0.81907956   -818.73416    2467.3773    -71.99574   -115.21122    -310.1692    445.83464   -337.60143   -488.70736    294.05769 
   49000        49000    288.80691       107143    374.57425   0.81907956   -848.61926    2378.8144     456.9969    1364.0535   -697.32764    151.19389   -691.05918   -110.53517    288.80691 
   50000        50000     292.1771       107143    310.24638   0.81907956   -934.97656    2330.1191   -98.233053   -98.710493    1127.6827   -315.63946     -367.904   -384.11224     292.1771 
   51000        51000    300.12343       107143   -13.704246   0.81907956   -893.69471    2460.2016    329.06214   -106.67102   -263.50386   -484.81015   -496.60819   -200.81049    300.12343 
   52000        52000    290.35919       107143    165.95101   0.81907956   -866.58337     2378.197   -124.91797    1347.9533   -725.18227   -38.560859   -22.184089   -429.27281    290.35919 
   53000        53000    288.10624       107143    626.62517   0.81907956   -888.83562     2330.768    672.93453    735.66778     471.2732    393.13598    1136.2678   -542.57639    288.10624 
   54000        54000    298.94249       107143     384.3022   0.81907956   -875.53982    2465.1595    793.90293    359.25327  -0.24958722   -493.02147     1.660548   -243.40451    298.94249 
   55000        55000    290.22694       107143   -170.23949   0.81907956   -969.70615    2273.5964   -716.10948    321.99234   -116.60132   -1008.7432   -279.10167   -277.81043    290.22694 
   56000        56000    296.23637       107143    437.12021   0.81907956   -876.09894    2434.3594    587.50424   -27.092894    750.94929   -145.48404    209.77301     121.8251    296.23637 
   57000        57000    285.11168       107143   -976.16991   0.81907956   -870.53271    2315.6066    -2053.036    -293.2847   -582.18903   -366.04528    274.29646    450.75005    285.11168 
   58000        58000    293.45677       107143    232.87158   0.81907956   -863.78926    2415.6068    97.484206   -126.52554    727.65606    -44.87994   -106.50323    167.71502    293.45677 
   59000        59000    290.17231       107143   -507.83731   0.81907956   -868.48297    2374.2091   -827.96782    210.11098   -905.65509   -920.61985     270.6053   -714.67196    290.17231 
   60000        60000    284.08807       107143    331.89443   0.81907956   -862.59408    2312.1063     355.8879    509.24517    130.55023    146.60469   -416.73784   -444.17613    284.08807 
   61000        61000    299.44725       107143     108.9456   0.81907956   -848.53491    2497.8051    767.53091    -246.2961     -194.398   -736.67443   -344.93232   -86.293641    299.44725 
