# Spatial-averaged data for fix vpave and group all
# Timestep Number-of-bins
# Bin Coord Ncount vx
1500000 20
  1 0.025 193.975 1.24551e-05
  2 0.075 186.332 2.78513e-05
  3 0.125 188.417 5.08899e-05
  4 0.175 180.872 8.30756e-05
  5 0.225 189.767 0.000117429
  6 0.275 186.261 0.000140576
  7 0.325 187.205 0.000163231
  8 0.375 182.499 0.000192128
  9 0.425 193.645 0.00021084
  10 0.475 186.539 0.00023492
  11 0.525 184.116 0.000256951
  12 0.575 191.483 0.000284276
  13 0.625 191.33 0.000308234
  14 0.675 187.308 0.000326085
  15 0.725 186.384 0.000344899
  16 0.775 189.831 0.000368386
  17 0.825 183.29 0.000393875
  18 0.875 190.086 0.00041166
  19 0.925 186.65 0.000432819
  20 0.975 184.011 0.000456745
2000000 20
  1 0.025 184.366 1.36148e-05
  2 0.075 188.183 3.66073e-05
  3 0.125 185.416 6.613e-05
  4 0.175 185.706 8.84476e-05
  5 0.225 189.013 0.000124842
  6 0.275 181.807 0.000156485
  7 0.325 191.645 0.000182827
  8 0.375 184.689 0.000207551
  9 0.425 190.116 0.000232086
  10 0.475 186.554 0.000258862
  11 0.525 184.824 0.000282522
  12 0.575 186.124 0.000306644
  13 0.625 189.103 0.000331027
  14 0.675 190.777 0.000356725
  15 0.725 188.12 0.000378292
  16 0.775 189.849 0.00039884
  17 0.825 188.202 0.000417616
  18 0.875 189.185 0.00043566
  19 0.925 191.062 0.000450348
  20 0.975 185.259 0.000465376
2500000 20
  1 0.025 184.659 5.58365e-05
  2 0.075 187.369 8.3113e-05
  3 0.125 189.174 9.02808e-05
  4 0.175 188.493 0.000111166
  5 0.225 188.158 0.000126969
  6 0.275 192.193 0.000141556
  7 0.325 185.545 0.000158246
  8 0.375 186.426 0.000190797
  9 0.425 186.804 0.00021625
  10 0.475 188.115 0.000239816
  11 0.525 188.003 0.000268371
  12 0.575 185.912 0.000293369
  13 0.625 186.248 0.000322548
  14 0.675 184.925 0.000349255
  15 0.725 186.534 0.000379546
  16 0.775 188.477 0.000404874
  17 0.825 184.819 0.000432209
  18 0.875 186.443 0.000461374
  19 0.925 191.269 0.000487848
  20 0.975 190.435 0.000497791
3000000 20
  1 0.025 183.542 3.9129e-05
  2 0.075 186.683 6.97069e-05
  3 0.125 191.161 8.86476e-05
  4 0.175 182.654 0.000112378
  5 0.225 185.424 0.000140421
  6 0.275 189.057 0.000159103
  7 0.325 190.049 0.000173344
  8 0.375 186.166 0.000193425
  9 0.425 187.629 0.000226514
  10 0.475 190.063 0.000252658
  11 0.525 187.503 0.000274259
  12 0.575 187.008 0.000298614
  13 0.625 184.999 0.000328455
  14 0.675 190.115 0.000355209
  15 0.725 190.514 0.000372882
  16 0.775 187.725 0.000392264
  17 0.825 186.425 0.000423233
  18 0.875 184.525 0.000439569
  19 0.925 190.121 0.000475477
  20 0.975 188.637 0.000492252
3500000 20
  1 0.025 185.332 4.10137e-05
  2 0.075 187.747 6.95089e-05
  3 0.125 191.345 9.14186e-05
  4 0.175 182.574 0.000112236
  5 0.225 192.906 0.000131308
  6 0.275 188.191 0.000152945
  7 0.325 187.67 0.000173593
  8 0.375 188.935 0.000189513
  9 0.425 186.145 0.000213386
  10 0.475 185.375 0.000241843
  11 0.525 186.393 0.000271217
  12 0.575 186.459 0.000304011
  13 0.625 191.482 0.000332245
