# Spatial-averaged data for fix vpave and group all
# Timestep Number-of-bins
# Bin Coord Ncount vx
500000000 20
  1 0.025 187.833 0.000646211
  2 0.075 187.115 0.000645324
  3 0.125 187.608 0.000644304
  4 0.175 187.107 0.000646683
  5 0.225 187.649 0.000647324
  6 0.275 187.534 0.000646223
  7 0.325 187.242 0.00064813
  8 0.375 187.557 0.000647271
  9 0.425 187.996 0.000646485
  10 0.475 187.199 0.000648828
  11 0.525 188.107 0.000644886
  12 0.575 187.691 0.000647949
  13 0.625 187.254 0.000650115
  14 0.675 187.696 0.000647552
  15 0.725 187.529 0.000649568
  16 0.775 187.439 0.000650365
  17 0.825 186.396 0.000646981
  18 0.875 188.043 0.000648554
  19 0.925 187.679 0.00065088
  20 0.975 187.326 0.00065189
550000000 20
  1 0.025 188.075 0.000691167
  2 0.075 187.312 0.000690769
  3 0.125 187.492 0.000689661
  4 0.175 187.472 0.000691002
  5 0.225 187.67 0.000689873
  6 0.275 187.486 0.000694073
  7 0.325 187.515 0.000692484
  8 0.375 187.697 0.000693356
  9 0.425 186.982 0.000693165
  10 0.475 187.487 0.000691769
  11 0.525 188.003 0.000693078
  12 0.575 186.772 0.000693829
  13 0.625 188.245 0.000693917
  14 0.675 186.902 0.000693362
  15 0.725 187.32 0.000695352
  16 0.775 186.829 0.00069244
  17 0.825 187.94 0.000695249
  18 0.875 187.236 0.00069511
  19 0.925 187.843 0.000694429
  20 0.975 187.724 0.000697048
600000000 20
  1 0.025 187.315 0.000730674
  2 0.075 187.457 0.000732681
  3 0.125 187.879 0.000730688
  4 0.175 187.178 0.000729296
  5 0.225 188.319 0.000732232
  6 0.275 187.066 0.000732322
  7 0.325 187.598 0.000731217
  8 0.375 187.804 0.000733714
  9 0.425 187.786 0.000734722
  10 0.475 187.28 0.000731199
  11 0.525 188.697 0.00073278
  12 0.575 186.637 0.000732435
  13 0.625 186.918 0.000733992
  14 0.675 187.615 0.000731944
  15 0.725 187.757 0.000735362
  16 0.775 187.963 0.000733819
  17 0.825 187.561 0.000734477
  18 0.875 186.685 0.000734145
  19 0.925 187.772 0.000733557
  20 0.975 186.714 0.000734928
650000000 20
  1 0.025 188.207 0.000771009
  2 0.075 187.802 0.00076811
  3 0.125 187.219 0.000769952
  4 0.175 186.943 0.000770151
  5 0.225 187.565 0.000771285
  6 0.275 186.673 0.000770199
  7 0.325 187.312 0.000771032
  8 0.375 187.162 0.000770311
  9 0.425 188.331 0.000773854
  10 0.475 186.641 0.00076968
  11 0.525 188.143 0.000774004
  12 0.575 187.646 0.000771269
  13 0.625 187.94 0.000772596
  14 0.675 186.808 0.00077314
  15 0.725 187.69 0.000773719
  16 0.775 187.347 0.000770599
  17 0.825 188.042 0.000775614
  18 0.875 187.843 0.000773557
  19 0.925 187.241 0.000772584
  20 0.975 187.445 0.000774528
700000000 20
  1 0.025 187.093 0.000807025
  2 0.075 187.986 0.000805063
  3 0.125 187.169 0.000805134
  4 0.175 187.66 0.00080528
  5 0.225 187.355 0.000805178
  6 0.275 188.081 0.00080656
  7 0.325 187.309 0.000806354
  8 0.375 187.845 0.000808947
  9 0.425 186.847 0.000806311
  10 0.475 187.362 0.000806443
  11 0.525 188.302 0.000808468
  12 0.575 187.575 0.000809132
  13 0.625 187.3 0.000810061
  14 0.675 187.828 0.000808589
  15 0.725 186.868 0.000808095
  16 0.775 187.764 0.000808238
  17 0.825 186.81 0.000808394
  18 0.875 187.441 0.000809319
  19 0.925 187.844 0.000809693
  20 0.975 187.562 0.000807615
750000000 20
  1 0.025 188.073 0.000835623
  2 0.075 186.777 0.000838405
  3 0.125 187.631 0.000838267
  4 0.175 186.818 0.00083819
  5 0.225 188.11 0.000837744
  6 0.275 187.037 0.000836747
  7 0.325 188.061 0.000838841
  8 0.375 187.703 0.000838745
  9 0.425 187.144 0.000839391
  10 0.475 187.625 0.000841989
  11 0.525 187.072 0.000839486
  12 0.575 186.915 0.000838406
  13 0.625 187.382 0.000840634
  14 0.675 187.315 0.000838524
  15 0.725 188.155 0.000841338
  16 0.775 187.922 0.000842314
  17 0.825 188.2 0.000840198
  18 0.875 186.667 0.000840422
  19 0.925 188.2 0.0008431
  20 0.975 187.193 0.000840691
800000000 20
  1 0.025 188.308 0.000863793
  2 0.075 186.382 0.000867275
  3 0.125 188.008 0.000863395
  4 0.175 187.783 0.000865526
  5 0.225 187.99 0.000865473
  6 0.275 187.046 0.000867055
  7 0.325 187.24 0.000866611
  8 0.375 188.409 0.000866111
  9 0.425 187.247 0.000867464
  10 0.475 187.614 0.000868474
  11 0.525 186.888 0.000866331
  12 0.575 187.436 0.000867093
  13 0.625 187.786 0.000869252
  14 0.675 187.807 0.000867768
  15 0.725 187.918 0.000868861
  16 0.775 187.634 0.000866027
  17 0.825 187.5 0.0008702
  18 0.875 187.017 0.000869668
  19 0.925 187.366 0.000870724
  20 0.975 186.621 0.000867784
850000000 20
  1 0.025 188.258 0.000887511
  2 0.075 187.095 0.000890575
  3 0.125 188.135 0.000890168
  4 0.175 186.841 0.000893115
  5 0.225 187.209 0.000889765
  6 0.275 187.122 0.00089051
  7 0.325 187.654 0.00089077
  8 0.375 187.582 0.00089076
  9 0.425 187.326 0.000892419
  10 0.475 188.174 0.000893584
  11 0.525 187.634 0.000890289
  12 0.575 187.014 0.000891205
  13 0.625 188.303 0.000894505
  14 0.675 187.307 0.000893415
  15 0.725 187.111 0.000892116
  16 0.775 187.018 0.000893341
  17 0.825 187.541 0.000892316
  18 0.875 187.333 0.000893297
  19 0.925 187.996 0.0008965
  20 0.975 187.347 0.00089368
900000000 20
  1 0.025 187.084 0.000910177
  2 0.075 187.27 0.00091292
  3 0.125 187.701 0.000912158
  4 0.175 187.415 0.000911511
  5 0.225 188.119 0.000912524
  6 0.275 187.161 0.000915782
  7 0.325 188.527 0.000913488
  8 0.375 187.863 0.000912595
  9 0.425 186.739 0.000912425
  10 0.475 187.361 0.0009151
  11 0.525 187.297 0.000913765
  12 0.575 187.303 0.000914292
  13 0.625 187.455 0.00091351
  14 0.675 187.013 0.000917147
  15 0.725 188.242 0.000913152
  16 0.775 187.165 0.000915346
  17 0.825 187.129 0.000916163
  18 0.875 187.162 0.000914952
  19 0.925 188.317 0.000915014
  20 0.975 187.676 0.000918029
950000000 20
  1 0.025 187.159 0.000932932
  2 0.075 187.396 0.000930394
  3 0.125 187.752 0.000929545
  4 0.175 186.931 0.000934282
  5 0.225 188.103 0.000930023
  6 0.275 186.908 0.000930945
  7 0.325 188.599 0.000932572
