# Spatial-averaged data for fix vpave and group all
# Timestep Number-of-bins
# Bin Coord Ncount vx
500000000 20
  8 0.375 187.435 0.000933332
  9 0.425 186.757 0.000932207
  10 0.475 188.098 0.000930599
  11 0.525 186.676 0.000932244
  12 0.575 187.55 0.000933324
  13 0.625 187.232 0.00093218
  14 0.675 187.782 0.000935812
  15 0.725 187.234 0.000933898
  16 0.775 188.049 0.000933205
  17 0.825 187.517 0.000936624
  18 0.875 188.123 0.000933663
  19 0.925 186.923 0.000932892
  20 0.975 187.777 0.000934939
1000000000 20
  1 0.025 186.679 0.000951414
  2 0.075 187.704 0.00095089
  3 0.125 187.505 0.000952549
  4 0.175 187.915 0.000954729
  5 0.225 187.279 0.000952586
  6 0.275 188.225 0.000953212
  7 0.325 186.865 0.000952336
  8 0.375 187.916 0.000953415
  9 0.425 187.389 0.000953351
  10 0.475 188.105 0.000955376
  11 0.525 187.122 0.000951126
  12 0.575 187.226 0.000956509
  13 0.625 186.974 0.00095505
  14 0.675 187.849 0.000956644
  15 0.725 187.986 0.000952132
  16 0.775 187.221 0.000954162
  17 0.825 187.312 0.000957233
  18 0.875 187.394 0.000956864
  19 0.925 187.47 0.000956099
  20 0.975 187.864 0.000956956
1050000000 20
  1 0.025 187.212 0.000969249
  2 0.075 187.431 0.000971174
  3 0.125 187.431 0.000969678
  4 0.175 187.376 0.000970442
  5 0.225 187.307 0.000970518
  6 0.275 188.313 0.000970478
  7 0.325 187.835 0.00097085
  8 0.375 187.712 0.000971637
  9 0.425 186.89 0.000973831
  10 0.475 187.59 0.000970725
  11 0.525 186.238 0.000971329
  12 0.575 188.077 0.000972049
  13 0.625 186.829 0.00097421
  14 0.675 187.998 0.000973711
  15 0.725 187.066 0.000972161
  16 0.775 187.875 0.000972155
  17 0.825 187.314 0.000975897
  18 0.875 187.585 0.000972857
  19 0.925 188.411 0.000973221
  20 0.975 187.51 0.000975405
1100000000 20
  1 0.025 187.212 0.00098577
  2 0.075 187.736 0.000982916
  3 0.125 186.919 0.000983976
  4 0.175 187.738 0.000984865
  5 0.225 188.082 0.000985856
  6 0.275 187.331 0.000983151
  7 0.325 187.958 0.000987428
  8 0.375 187.463 0.000986836
  9 0.425 187.966 0.000985642
  10 0.475 187.878 0.000983477
  11 0.525 187.551 0.000986327
  12 0.575 187.684 0.000986117
  13 0.625 187.488 0.000986404
  14 0.675 186.784 0.000989834
  15 0.725 187.122 0.000984947
  16 0.775 187.116 0.00098706
  17 0.825 187.772 0.000986549
  18 0.875 187.447 0.000986494
  19 0.925 187.776 0.000988401
  20 0.975 186.979 0.000988949
1150000000 20
  1 0.025 187.336 0.000996737
  2 0.075 187.736 0.00100118
  3 0.125 187.164 0.000996668
  4 0.175 188.472 0.000998748
  5 0.225 186.864 0.000997745
  6 0.275 187.679 0.000997171
  7 0.325 186.763 0.00100024
  8 0.375 188.112 0.00100038
  9 0.425 186.949 0.000999349
  10 0.475 187.982 0.000999382
  11 0.525 187.824 0.000999552
  12 0.575 187.359 0.00100301
  13 0.625 187.792 0.000999352
  14 0.675 187.357 0.00100227
  15 0.725 187.447 0.000999902
  16 0.775 187.78 0.000998225
  17 0.825 186.401 0.00100203
  18 0.875 188.073 0.00100403
  19 0.925 186.555 0.000998174
  20 0.975 188.355 0.00100406
1200000000 20
  1 0.025 187.543 0.00101176
  2 0.075 187.434 0.00101199
  3 0.125 187.769 0.00101112
  4 0.175 187.704 0.00101355
  5 0.225 187.256 0.0010129
  6 0.275 187.867 0.00101435
  7 0.325 188.252 0.00101503
  8 0.375 187.515 0.00101302
  9 0.425 186.744 0.00101283
  10 0.475 187.257 0.0010115
  11 0.525 187.177 0.00101641
  12 0.575 187.6 0.0010155
  13 0.625 187.467 0.00101423
  14 0.675 186.332 0.00101529
  15 0.725 187.625 0.00101619
  16 0.775 187.619 0.00101405
  17 0.825 188.119 0.00101422
  18 0.875 186.734 0.00101528
  19 0.925 187.992 0.00101939
  20 0.975 187.993 0.00101747
1250000000 20
  1 0.025 188.054 0.00102191
  2 0.075 187.274 0.00102241
  3 0.125 187.799 0.00102092
  4 0.175 186.092 0.00102287
  5 0.225 188.225 0.00102403
  6 0.275 187.322 0.00102372
  7 0.325 187.75 0.00102358
  8 0.375 187.222 0.00102386
  9 0.425 187.432 0.00102446
  10 0.475 187.667 0.00102438
  11 0.525 187.704 0.00102619
  12 0.575 186.831 0.00102477
  13 0.625 187.694 0.00102388
  14 0.675 188.004 0.00102643
  15 0.725 187.456 0.00102482
  16 0.775 187.22 0.00102475
  17 0.825 187.312 0.00102858
  18 0.875 188.371 0.00102671
  19 0.925 187.289 0.0010253
  20 0.975 187.282 0.00102775
1300000000 20
  1 0.025 187.804 0.00102933
  2 0.075 187.951 0.00103121
  3 0.125 187.978 0.00102903
  4 0.175 188.236 0.00103013
  5 0.225 187.612 0.00102885
  6 0.275 186.952 0.00103015
  7 0.325 187.195 0.0010299
  8 0.375 187.412 0.00103174
  9 0.425 187.242 0.00102956
  10 0.475 188.201 0.00103218
  11 0.525 186.997 0.00103106
  12 0.575 188.116 0.00103029
  13 0.625 187.038 0.00103143
  14 0.675 186.896 0.0010331
  15 0.725 187.604 0.00103128
  16 0.775 187.558 0.00103229
  17 0.825 186.998 0.00103325
  18 0.875 186.763 0.00103351
  19 0.925 187.972 0.00103139
  20 0.975 187.477 0.00103377
1350000000 20
  1 0.025 187.71 0.00103517
  2 0.075 188.022 0.00103137
  3 0.125 187.327 0.00103454
  4 0.175 188.323 0.00103434
  5 0.225 186.883 0.00103601
  6 0.275 187.014 0.00103485
  7 0.325 188.179 0.00103822
  8 0.375 187.076 0.00103535
  9 0.425 188.282 0.00103591
  10 0.475 187.211 0.00103635
  11 0.525 187.645 0.00103641
  12 0.575 186.89 0.00103272
  13 0.625 187.227 0.00103823
  14 0.675 187.28 0.00103804
  15 0.725 186.881 0.00103844
  16 0.775 187.046 0.00103724
  17 0.825 187.962 0.00104017
  18 0.875 187.197 0.00103535
  19 0.925 188.088 0.00103478
  20 0.975 187.758 0.0010424
1400000000 20
  1 0.025 187.258 0.00103745
  2 0.075 186.86 0.00103931
  3 0.125 188.008 0.00103586
  4 0.175 187.719 0.00103806
  5 0.225 187.604 0.00103859
  6 0.275 187.999 0.00103796
  7 0.325 187.604 0.00103819
  8 0.375 186.756 0.00103785
  9 0.425 187.65 0.00104064
  10 0.475 186.967 0.00103851
  11 0.525 188.089 0.00104
  12 0.575 186.618 0.00103915
  13 0.625 187.973 0.00103822
  14 0.675 187.15 0.00103958
  15 0.725 188.224 0.0010414
  16 0.775 186.883 0.00103945
  17 0.825 187.851 0.00104227
  18 0.875 187.965 0.00104049
  19 0.925 187.082 0.00103926
  20 0.975 187.74 0.001042
