# Time-averaged data for fix output_pressure
# TimeStep v_pxx v_pyy v_pzz v_pxy v_pxz v_pyz c_thermo_press
11080000 -218.527 147.271 118.293 -26.0667 -51.5621 -40.0264 15.6789
11081000 152.375 143.02 332.517 -64.1518 -83.1803 -149.714 209.304
11082000 -6.9528 289.261 86.4848 28.2221 69.4128 11.6123 122.931
11083000 -199.216 16.2876 38.9739 -19.9122 75.4027 -47.6873 -47.9849
11084000 -128.273 100.297 -66.8096 -59.1203 -59.4616 69.0779 -31.5954
11085000 -214.509 173.67 59.7227 30.8934 102.748 -46.7118 6.2948
11086000 -267.2 62.0924 92.1868 -100.423 -37.2435 -79.183 -37.6403
11087000 -60.1467 -37.5937 252.818 -34.9071 37.9199 51.1539 51.6926
11088000 -106.934 -66.6256 181.014 -69.0024 -62.7793 5.04666 2.48476
11089000 71.9298 189.413 211.122 -48.4529 29.3523 74.4411 157.488
11090000 -139.751 18.9148 69.0999 -18.8768 32.431 -43.4752 -17.2455
11091000 -111.809 58.5085 72.8597 -36.8159 -44.1577 -64.8486 6.51973
11092000 -114.739 31.0298 105.539 -9.45274 63.3311 12.2121 7.27647
11093000 -15.1866 45.5286 22.9089 -10.4854 5.17127 40.2997 17.7503
11094000 127.036 262.806 149.077 7.15692 -31.772 -60.7773 179.64
11095000 124.473 -20.5432 128.531 61.9346 28.844 -2.84697 77.4869
11096000 -13.0546 76.4141 128.146 -13.2602 68.4169 30.8386 63.835
11097000 -29.9047 90.4944 -91.4328 -1.72214 48.7866 -0.466376 -10.281
11098000 -25.2045 13.6148 2.48753 -25.1084 88.4333 -63.5215 -3.03407
11099000 -115.472 50.8258 -10.4374 -19.9363 148.542 -3.08863 -25.028
11100000 58.2186 -32.2809 -69.4771 21.2697 78.3859 22.2954 -14.5131
11101000 142.212 96.7706 -42.0605 34.2791 75.3038 10.5936 65.6408
11102000 45.5954 38.5863 53.5309 -38.4311 24.7104 6.62252 45.9042
11103000 -31.0697 104.431 -15.9374 -75.8162 17.0935 -43.9358 19.1413
11104000 106 186.286 189.337 -26.3602 27.9146 25.6052 160.541
11105000 15.5663 -25.2955 47.1672 -36.9855 33.9606 88.3965 12.4793
11106000 24.1334 -105.369 -7.74538 -16.058 77.7073 -23.096 -29.6602
11107000 -0.340237 -109.426 -12.05 24.3233 -2.89538 89.2678 -40.6053
11108000 231.812 114.994 160.475 22.8331 141.407 71.399 169.094
11109000 -105.735 -94.2199 58.776 16.8348 -25.5245 -8.57064 -47.0596
11110000 50.4214 -38.7226 196.917 14.3154 -0.743393 -70.4736 69.5385
11111000 37.6695 35.0242 177.393 85.0023 126.275 -32.1916 83.3621
11112000 12.1228 82.9362 99.5942 -94.3499 106.233 0.0976399 64.8844
11113000 19.6292 93.3471 29.4165 -53.5819 42.5665 10.9344 47.4643
11114000 138.166 142.727 10.5337 22.1459 -5.17998 -35.3494 97.142
11115000 87.6832 153.504 126.643 -8.06609 -21.3496 61.4953 122.61
11116000 154.469 -40.4889 158.966 61.0762 -17.6428 86.3911 90.982
11117000 68.8003 83.0329 52.0609 55.8091 124.489 20.9181 67.9647
11118000 89.768 131.994 94.63 34.488 -7.21029 65.8267 105.464
11119000 24.7505 216.488 135.35 2.59766 59.5071 16.316 125.53
11120000 51.6996 182.636 137.869 -12.5366 46.2912 -27.7064 124.068
11121000 24.2139 199.775 86.3116 30.695 71.3545 -0.586485 103.434
11122000 -128.292 10.6332 244.54 -45.3367 146.547 26.7824 42.2938
11123000 -67.8539 -26.8432 74.7448 -32.7121 169.246 -53.1065 -6.6508
11124000 -94.0538 111.345 157.753 -4.77453 81.3311 21.1814 58.3481
11125000 84.7332 -73.8041 198.033 -24.999 112.351 46.9314 69.654
11126000 43.685 16.985 36.1667 -55.0679 194.476 15.6624 32.2789
11127000 78.5907 277.526 208.993 -52.0388 148.584 16.7476 188.37
11128000 -71.9896 168.078 85.2671 -54.3446 229.991 47.6565 60.4519
11129000 216.423 70.1475 46.1267 -106.795 187.719 -24.1546 110.899
11130000 248.085 142.982 231.16 -155.697 145.455 48.8271 207.409
11131000 195.119 203.425 40.3744 -64.8081 130.733 -53.8268 146.306
11132000 77.8716 132.235 158.612 -69.3901 73.7958 -13.8132 122.906
11133000 189.877 105.923 243.579 -54.1494 110.944 18.095 179.793
11134000 25.0066 78.4011 156.504 -70.0264 72.9102 48.5421 86.6372
11135000 -39.4109 98.6388 198.786 -67.4819 55.3393 93.3797 86.0048
11136000 130.39 106.511 210.727 -38.4189 82.967 -8.26941 149.209
11137000 193.493 87.259 205.541 31.366 72.5365 70.8794 162.098
11138000 119.873 296.478 248.959 -56.6417 126.642 -84.9922 221.77
11139000 73.237 120.033 157.331 29.9246 128.665 -42.4432 116.867
11140000 103.857 79.6099 306.702 11.6316 176.792 -46.026 163.39
11141000 -118.517 88.8147 56.9614 -44.6095 170.106 -56.6708 9.0862
11142000 57.796 110.755 342.669 -38.8172 125.729 -47.2422 170.407
11143000 125.005 85.2594 68.198 -8.63977 157.14 -34.9103 92.8208
11144000 95.6671 -59.9188 147.832 -118.554 108.617 57.5019 61.1934
11145000 23.9084 137.597 173.719 -25.3466 93.2188 -62.2302 111.742
11146000 262.642 405.771 318.02 -105.918 168.645 -1.71129 328.811
11147000 176.212 54.8948 144.787 -129.374 95.0011 -11.2114 125.298
11148000 22.6592 174.287 279.502 -51.4528 154.104 9.11525 158.816
11149000 -135.351 57.3428 166.177 -44.0265 82.1038 -13.6135 29.3895
11150000 41.6986 203.265 223.014 -102.084 147.604 25.7438 155.993
