# Time-averaged data for fix dave
# TimeStep v_rho
228354000 0.865543
228355000 0.865542
228356000 0.865541
228357000 0.86554
228358000 0.865539
228359000 0.865546
228360000 0.865546
228361000 0.865551
228362000 0.86555
228363000 0.865553
228364000 0.865558
228365000 0.86556
228366000 0.865573
228367000 0.865579
228368000 0.865587
228369000 0.865591
228370000 0.865596
228371000 0.8656
228372000 0.865602
228373000 0.865608
228374000 0.865609
228375000 0.865608
228376000 0.86561
228377000 0.865612
228378000 0.865608
228379000 0.865615
228380000 0.865623
228381000 0.865622
228382000 0.865624
228383000 0.865628
228384000 0.865632
228385000 0.865633
228386000 0.865631
228387000 0.865637
228388000 0.865645
228389000 0.865645
228390000 0.865647
228391000 0.865643
228392000 0.865635
228393000 0.865636
228394000 0.865632
228395000 0.865636
228396000 0.865644
228397000 0.865646
228398000 0.865653
228399000 0.865657
228400000 0.865668
228401000 0.865679
228402000 0.865684
228403000 0.865691
228404000 0.865695
228405000 0.865696
228406000 0.865698
228407000 0.8657
228408000 0.865706
228409000 0.865709
228410000 0.865715
228411000 0.865719
228412000 0.865727
228413000 0.865733
228414000 0.865734
228415000 0.86574
228416000 0.865743
228417000 0.865752
228418000 0.865755
228419000 0.865759
228420000 0.865763
228421000 0.865766
228422000 0.86577
228423000 0.865765
228424000 0.865765
228425000 0.865768
228426000 0.86577
228427000 0.865775
228428000 0.865773
228429000 0.865776
228430000 0.865777
228431000 0.865775
228432000 0.86577
228433000 0.865768
228434000 0.865776
228435000 0.865779
228436000 0.865776
228437000 0.865776
228438000 0.865783
228439000 0.86579
228440000 0.86579
228441000 0.865795
228442000 0.8658
228443000 0.865806
228444000 0.865814
228445000 0.865823
228446000 0.86583
228447000 0.865837
228448000 0.865838
228449000 0.865844
228450000 0.865843
228451000 0.865839
228452000 0.865838
228453000 0.865832
228454000 0.865833
228455000 0.865835
228456000 0.865839
228457000 0.865846
228458000 0.865858
228459000 0.865867
228460000 0.865875
228461000 0.865879
228462000 0.865885
228463000 0.865895
228464000 0.865906
228465000 0.865913
228466000 0.86592
228467000 0.865928
228468000 0.865933
228469000 0.865943
228470000 0.865947
228471000 0.86595
228472000 0.865964
228473000 0.865975
228474000 0.86599
228475000 0.865997
228476000 0.866
228477000 0.866009
228478000 0.86602
228479000 0.866027
228480000 0.866039
228481000 0.866048
228482000 0.866058
228483000 0.866065
228484000 0.866074
228485000 0.866087
228486000 0.866094
228487000 0.8661
228488000 0.866108
228489000 0.866116
228490000 0.866123
228491000 0.86613
228492000 0.866137
228493000 0.866138
228494000 0.866144
228495000 0.866147
228496000 0.86615
228497000 0.866154
228498000 0.86616
228499000 0.866169
228500000 0.866175
228501000 0.866172
228502000 0.86618
228503000 0.86618
228504000 0.86618
228505000 0.866183
228506000 0.866187
228507000 0.866194
228508000 0.866207
228509000 0.866209
228510000 0.866216
228511000 0.86622
228512000 0.866224
228513000 0.86623
228514000 0.866228
228515000 0.866232
228516000 0.866234
228517000 0.866236
228518000 0.866236
228519000 0.866233
228520000 0.866232
228521000 0.866234
228522000 0.866235
228523000 0.866234
228524000 0.866238
228525000 0.866241
228526000 0.866245
228527000 0.866254
228528000 0.866258
228529000 0.866264
228530000 0.866268
228531000 0.866272
228532000 0.866275
228533000 0.86628
228534000 0.866281
228535000 0.866279
228536000 0.866285
228537000 0.866289
228538000 0.866296
228539000 0.866297
228540000 0.866302
228541000 0.866312
228542000 0.866314
228543000 0.866317
228544000 0.866321
228545000 0.866323
228546000 0.866322
228547000 0.866329
228548000 0.86633
228549000 0.866333
228550000 0.866337
228551000 0.866342
228552000 0.866338
228553000 0.866336
228554000 0.866327
228555000 0.866327
228556000 0.866329
228557000 0.866327
228558000 0.86633
228559000 0.866325
228560000 0.866322
228561000 0.866322
228562000 0.86632
228563000 0.866323
228564000 0.866321
228565000 0.866317
228566000 0.866318
228567000 0.866318
228568000 0.866322
228569000 0.866325
228570000 0.866325
228571000 0.866328
228572000 0.86633
228573000 0.866328
228574000 0.866331
228575000 0.866327
228576000 0.866326
228577000 0.866326
228578000 0.866331
228579000 0.866336
228580000 0.86634
228581000 0.866351
228582000 0.866358
228583000 0.866363
228584000 0.866368
228585000 0.866373
228586000 0.866377
228587000 0.866377
228588000 0.866379
228589000 0.866378
228590000 0.866384
228591000 0.866385
228592000 0.866386
228593000 0.866383
228594000 0.866383
228595000 0.866383
228596000 0.86638
228597000 0.866379
228598000 0.866382
228599000 0.866383
228600000 0.866381
228601000 0.86638
228602000 0.86638
228603000 0.866381
228604000 0.866385
228605000 0.866383
228606000 0.866386
228607000 0.866394
228608000 0.866398
228609000 0.866406
228610000 0.866413
228611000 0.866421
228612000 0.866428
228613000 0.86643
228614000 0.866435
228615000 0.866434
228616000 0.866434
228617000 0.866435
228618000 0.866436
228619000 0.86644
228620000 0.866444
228621000 0.866442
228622000 0.866445
228623000 0.86645
228624000 0.866457
228625000 0.866464
228626000 0.866471
228627000 0.866473
228628000 0.866477
228629000 0.866478
228630000 0.866475
228631000 0.866476
228632000 0.86648
228633000 0.866483
228634000 0.866489
228635000 0.866493
228636000 0.866496
228637000 0.8665
228638000 0.866501
228639000 0.866501
228640000 0.866503
228641000 0.866504
228642000 0.866502
228643000 0.866505
228644000 0.866505
228645000 0.866505
228646000 0.866507
228647000 0.866509
228648000 0.866511
228649000 0.866514
228650000 0.866514
228651000 0.866515
228652000 0.866519
228653000 0.86652
228654000 0.866523
228655000 0.86653
228656000 0.866533
228657000 0.866532
228658000 0.866532
228659000 0.866532
228660000 0.866532
228661000 0.866533
228662000 0.866536
228663000 0.866537
228664000 0.866538
228665000 0.866539
228666000 0.866541
228667000 0.866543
228668000 0.866549
228669000 0.866554
228670000 0.866561
228671000 0.866564
228672000 0.866565
228673000 0.866564
228674000 0.866563
228675000 0.866561
228676000 0.866561
228677000 0.866564
228678000 0.86657
228679000 0.866575
228680000 0.866575
228681000 0.866576
228682000 0.866576
228683000 0.866577
228684000 0.866579
228685000 0.866575
228686000 0.866574
228687000 0.866576
228688000 0.866578
228689000 0.866579
228690000 0.866583
228691000 0.866587
228692000 0.866589
228693000 0.866593
228694000 0.866594
228695000 0.866594
228696000 0.866597
228697000 0.8666
228698000 0.866602
228699000 0.866607
228700000 0.866609
228701000 0.866608
228702000 0.866612
228703000 0.866618
228704000 0.866623
228705000 0.866627
228706000 0.866628
228707000 0.866629
228708000 0.86663
228709000 0.866635
228710000 0.866641
228711000 0.866644
228712000 0.866644
228713000 0.866643
228714000 0.866646
228715000 0.866644
228716000 0.866641
228717000 0.866639
228718000 0.866639
228719000 0.866638
228720000 0.866639
228721000 0.866641
228722000 0.866643
228723000 0.866641
228724000 0.866649
228725000 0.866652
228726000 0.866652
228727000 0.866655
228728000 0.866657
228729000 0.866663
228730000 0.866664
228731000 0.866669
228732000 0.866672
228733000 0.866676
228734000 0.866679
228735000 0.86668
228736000 0.866679
228737000 0.86668
228738000 0.86668
228739000 0.866686
228740000 0.866688
228741000 0.866687
228742000 0.86669
228743000 0.866688
228744000 0.866689
228745000 0.866688
228746000 0.866688
228747000 0.86669
228748000 0.866693
228749000 0.866693
228750000 0.866692
228751000 0.866689
228752000 0.866688
228753000 0.866683
228754000 0.866684
228755000 0.866683
228756000 0.866681
228757000 0.86668
228758000 0.866679
228759000 0.866682
228760000 0.866686
228761000 0.866687
228762000 0.866689
228763000 0.86669
228764000 0.866689
228765000 0.866689
228766000 0.866687
228767000 0.866684
228768000 0.866681
228769000 0.866675
228770000 0.86667
228771000 0.866664
228772000 0.866661
228773000 0.866656
228774000 0.866652
228775000 0.866648
228776000 0.866645
228777000 0.866644
228778000 0.866642
228779000 0.866641
228780000 0.866642
228781000 0.866641
228782000 0.866635
228783000 0.866632
228784000 0.866631
228785000 0.86663
228786000 0.866628
228787000 0.866631
228788000 0.866631
228789000 0.866633
228790000 0.866632
228791000 0.866632
228792000 0.866631
228793000 0.866632
228794000 0.866631
228795000 0.866635
228796000 0.866634
228797000 0.866633
228798000 0.866629
228799000 0.866627
228800000 0.866626
228801000 0.866623
228802000 0.86662
228803000 0.866616
228804000 0.866612
228805000 0.866606
228806000 0.8666
228807000 0.866594
228808000 0.866589
228809000 0.866585
228810000 0.866581
228811000 0.866579
228812000 0.866579
228813000 0.866579
228814000 0.866575
228815000 0.866573
228816000 0.866572
228817000 0.866573
228818000 0.866576
228819000 0.866573
228820000 0.866569
228821000 0.866567
228822000 0.866567
228823000 0.866564
228824000 0.866561
228825000 0.866556
228826000 0.866552
228827000 0.866548
228828000 0.866546
228829000 0.866546
228830000 0.866544
228831000 0.866542
228832000 0.866539
228833000 0.866536
228834000 0.866533
228835000 0.86653
228836000 0.86653
228837000 0.866527
228838000 0.866526
228839000 0.866523
228840000 0.866518
228841000 0.866514
228842000 0.866511
228843000 0.866506
228844000 0.8665
228845000 0.866496
228846000 0.866494
228847000 0.866492
228848000 0.86649
228849000 0.866487
228850000 0.866487
228851000 0.866486
228852000 0.866485
228853000 0.866483
228854000 0.866482
228855000 0.86648
228856000 0.866477
228857000 0.866474
228858000 0.866472
228859000 0.86647
228860000 0.866469
228861000 0.866469
228862000 0.866468
228863000 0.866465
228864000 0.866462
228865000 0.866455
228866000 0.86645
228867000 0.866445
228868000 0.866444
228869000 0.866443
228870000 0.86644
228871000 0.866437
228872000 0.866436
228873000 0.866435
228874000 0.866433
228875000 0.866431
228876000 0.866428
228877000 0.866428
228878000 0.866427
228879000 0.866425
228880000 0.866426
228881000 0.866425
228882000 0.86642
228883000 0.866418
228884000 0.866417
228885000 0.866416
228886000 0.866416
228887000 0.866413
228888000 0.866408
228889000 0.866404
228890000 0.866401
228891000 0.866398
228892000 0.866396
228893000 0.866394
228894000 0.866392
228895000 0.866388
228896000 0.866386
228897000 0.866383
228898000 0.866382
228899000 0.866381
228900000 0.866375
228901000 0.866373
228902000 0.866374
228903000 0.866377
228904000 0.866376
228905000 0.866371
228906000 0.866369
228907000 0.866367
228908000 0.866366
228909000 0.866364
228910000 0.866363
228911000 0.866361
228912000 0.86636
228913000 0.866357
228914000 0.866358
228915000 0.866357
228916000 0.866357
228917000 0.866359
228918000 0.866359
228919000 0.86636
228920000 0.866358
228921000 0.866358
228922000 0.866358
228923000 0.866355
228924000 0.866356
228925000 0.866358
228926000 0.866359
228927000 0.866362
228928000 0.866362
228929000 0.866365
228930000 0.866369
228931000 0.866372
228932000 0.866378
228933000 0.86638
228934000 0.86638
228935000 0.86638
228936000 0.866379
228937000 0.866379
228938000 0.866378
228939000 0.866378
228940000 0.866375
228941000 0.866378
228942000 0.866377
228943000 0.866379
228944000 0.866378
228945000 0.866378
228946000 0.866377
228947000 0.866376
228948000 0.866374
228949000 0.866374
228950000 0.866371
228951000 0.86637
228952000 0.866369
228953000 0.866367
228954000 0.866367
228955000 0.866366
228956000 0.866366
228957000 0.866363
228958000 0.866357
228959000 0.866354
228960000 0.866348
228961000 0.866345
228962000 0.866341
228963000 0.866339
228964000 0.866335
228965000 0.86633
228966000 0.866327
228967000 0.866325
228968000 0.866321
228969000 0.866319
228970000 0.866317
228971000 0.866314
228972000 0.866314
228973000 0.866313
228974000 0.86631
228975000 0.866308
228976000 0.866307
228977000 0.866305
228978000 0.866304
228979000 0.8663
228980000 0.866298
228981000 0.866296
228982000 0.866293
228983000 0.866292
228984000 0.866292
228985000 0.866291
228986000 0.86629
228987000 0.866287
228988000 0.866285
228989000 0.866285
228990000 0.866285
228991000 0.866286
228992000 0.866288
228993000 0.866287
228994000 0.86629
228995000 0.866291
228996000 0.866292
228997000 0.866291
228998000 0.866293
228999000 0.866296
229000000 0.866298
229001000 0.866299
229002000 0.866301
229003000 0.866304
229004000 0.866305
229005000 0.866304
229006000 0.866303
229007000 0.866304
229008000 0.866305
229009000 0.866307
229010000 0.866306
229011000 0.866308
229012000 0.866308
229013000 0.866311
229014000 0.866311
229015000 0.866311
229016000 0.866311
229017000 0.866314
229018000 0.866313
229019000 0.866315
229020000 0.866318
229021000 0.866321
229022000 0.866321
229023000 0.866321
229024000 0.866322
229025000 0.866321
229026000 0.866321
229027000 0.866324
229028000 0.866326
229029000 0.866329
229030000 0.86633
229031000 0.866332
229032000 0.866335
229033000 0.866337
229034000 0.866337
229035000 0.866337
229036000 0.86634
229037000 0.866341
229038000 0.866345
229039000 0.866348
229040000 0.86635
229041000 0.866354
229042000 0.866355
229043000 0.866355
229044000 0.866354
229045000 0.866356
229046000 0.866354
229047000 0.866352
229048000 0.866351
229049000 0.866351
229050000 0.866351
229051000 0.866351
229052000 0.866351
229053000 0.866349
229054000 0.866349
229055000 0.866349
229056000 0.866348
229057000 0.866349
229058000 0.866349
229059000 0.866351
229060000 0.866351
229061000 0.866352
229062000 0.866353
229063000 0.866353
229064000 0.866354
229065000 0.866353
229066000 0.866349
229067000 0.866349
229068000 0.866348
229069000 0.866349
229070000 0.866345
229071000 0.866344
229072000 0.866343
229073000 0.866344
229074000 0.866342
229075000 0.866341
229076000 0.86634
229077000 0.866339
229078000 0.866336
229079000 0.866333
229080000 0.866329
229081000 0.866325
229082000 0.866323
229083000 0.866321
229084000 0.86632
229085000 0.866318
229086000 0.866317
229087000 0.866315
229088000 0.866313
229089000 0.86631
229090000 0.866308
229091000 0.866305
229092000 0.866302
229093000 0.866299
229094000 0.866297
229095000 0.866296
229096000 0.866294
229097000 0.866292
229098000 0.866289
229099000 0.866289
229100000 0.866288
229101000 0.866285
229102000 0.866283
229103000 0.866282
229104000 0.866281
229105000 0.866278
229106000 0.86628
229107000 0.866279
229108000 0.866282
229109000 0.866281
229110000 0.866278
229111000 0.866279
229112000 0.866281
229113000 0.866279
229114000 0.866279
229115000 0.86628
229116000 0.866279
229117000 0.866279
229118000 0.86628
229119000 0.866279
229120000 0.86628
229121000 0.86628
229122000 0.866279
229123000 0.866278
229124000 0.866277
229125000 0.866276
229126000 0.866277
229127000 0.866278
229128000 0.866278
229129000 0.866273
229130000 0.866272
229131000 0.866271
229132000 0.86627
229133000 0.866269
229134000 0.866265
229135000 0.866264
229136000 0.866263
229137000 0.866261
229138000 0.866259
229139000 0.866257
229140000 0.866257
229141000 0.866254
229142000 0.866253
229143000 0.866253
229144000 0.866251
229145000 0.866249
229146000 0.866249
229147000 0.866246
229148000 0.866243
229149000 0.866238
229150000 0.866235
229151000 0.866233
229152000 0.86623
229153000 0.866227
229154000 0.866224
229155000 0.866219
229156000 0.866213
229157000 0.866211
229158000 0.866208
229159000 0.866205
229160000 0.866202
229161000 0.8662
229162000 0.866199
229163000 0.866196
229164000 0.866194
229165000 0.866193
229166000 0.86619
229167000 0.866192
229168000 0.86619
229169000 0.866189
229170000 0.866188
229171000 0.866184
229172000 0.866182
229173000 0.866178
229174000 0.866176
229175000 0.866172
229176000 0.866167
229177000 0.866164
229178000 0.866159
229179000 0.866154
229180000 0.866151
229181000 0.866149
229182000 0.866145
229183000 0.866139
229184000 0.866136
229185000 0.866135
229186000 0.866134
229187000 0.866133
229188000 0.86613
229189000 0.866127
229190000 0.866123
229191000 0.86612
229192000 0.866115
229193000 0.86611
229194000 0.866104
229195000 0.866096
229196000 0.866092
229197000 0.866089
229198000 0.866084
229199000 0.86608
229200000 0.866076
229201000 0.866074
229202000 0.866071
229203000 0.866066
229204000 0.866062
229205000 0.866055
229206000 0.866052
229207000 0.866049
229208000 0.866047
229209000 0.866045
229210000 0.866044
229211000 0.866041
229212000 0.866038
229213000 0.866036
229214000 0.866035
229215000 0.866034
229216000 0.866031
229217000 0.866029
229218000 0.866027
229219000 0.866024
229220000 0.866023
229221000 0.866021
229222000 0.866017
229223000 0.866016
229224000 0.866015
229225000 0.866012
229226000 0.86601
229227000 0.866008
229228000 0.866008
229229000 0.866006
229230000 0.866004
229231000 0.866
229232000 0.866001
229233000 0.866
229234000 0.865999
229235000 0.865999
229236000 0.865999
229237000 0.866
229238000 0.866001
229239000 0.866002
229240000 0.866003
229241000 0.866005
229242000 0.866006
229243000 0.866004
229244000 0.866004
229245000 0.866004
229246000 0.866003
229247000 0.866002
229248000 0.866002
229249000 0.866003
229250000 0.866003
229251000 0.866005
229252000 0.866004
229253000 0.866003
229254000 0.866002
229255000 0.866002
229256000 0.866001
229257000 0.866001
229258000 0.865999
229259000 0.866
229260000 0.866001
229261000 0.866002
229262000 0.866002
229263000 0.866003
229264000 0.866001
229265000 0.866003
229266000 0.866003
229267000 0.866005
229268000 0.866008
229269000 0.86601
229270000 0.86601
229271000 0.866011
229272000 0.866011
229273000 0.866011
229274000 0.866013
229275000 0.866013
229276000 0.866016
229277000 0.866016
229278000 0.866016
229279000 0.866016
229280000 0.866016
229281000 0.866016
229282000 0.866014
229283000 0.866014
229284000 0.866015
229285000 0.866016
229286000 0.866015
229287000 0.866013
229288000 0.86601
229289000 0.866006
229290000 0.866005
229291000 0.866004
229292000 0.866004
229293000 0.866004
229294000 0.866004
229295000 0.866004
229296000 0.866004
229297000 0.866003
229298000 0.866002
229299000 0.866
229300000 0.866
229301000 0.866
229302000 0.866
229303000 0.866001
229304000 0.866002
229305000 0.866004
229306000 0.866004
229307000 0.866005
229308000 0.866007
229309000 0.866008
229310000 0.866009
229311000 0.866011
229312000 0.866009
229313000 0.866009
229314000 0.866011
229315000 0.866011
229316000 0.866014
229317000 0.866016
229318000 0.866017
229319000 0.866018
229320000 0.86602
229321000 0.866021
229322000 0.866023
229323000 0.866024
229324000 0.866025
229325000 0.866028
229326000 0.866029
229327000 0.866031
229328000 0.866034
229329000 0.866034
229330000 0.866033
229331000 0.866034
229332000 0.866034
229333000 0.866036
229334000 0.866036
229335000 0.866038
229336000 0.866037
229337000 0.866037
229338000 0.866038
229339000 0.86604
229340000 0.86604
229341000 0.866041
229342000 0.866043
229343000 0.866044
229344000 0.866045
229345000 0.866044
229346000 0.866046
229347000 0.866047
229348000 0.866046
229349000 0.866045
229350000 0.866045
229351000 0.866044
229352000 0.866044
229353000 0.866043
229354000 0.866042
229355000 0.866039
229356000 0.866038
229357000 0.866036
229358000 0.866037
229359000 0.866036
229360000 0.866035
229361000 0.866034
229362000 0.866034
229363000 0.866031
229364000 0.86603
229365000 0.866028
229366000 0.866027
229367000 0.866026
229368000 0.866023
229369000 0.866023
229370000 0.866022
229371000 0.866023
229372000 0.866022
229373000 0.866021
229374000 0.86602
229375000 0.86602
229376000 0.866018
229377000 0.866019
229378000 0.86602
229379000 0.866021
229380000 0.866022
229381000 0.866022
229382000 0.866023
229383000 0.866023
229384000 0.866022
229385000 0.866023
229386000 0.866024
229387000 0.866026
229388000 0.866029
229389000 0.866034
229390000 0.866037
229391000 0.866038
229392000 0.86604
229393000 0.866041
229394000 0.866043
229395000 0.866047
229396000 0.86605
229397000 0.866052
229398000 0.866054
229399000 0.866057
229400000 0.866063
229401000 0.866065
229402000 0.866068
229403000 0.866072
229404000 0.866074
229405000 0.866077
229406000 0.866078
229407000 0.86608
229408000 0.866081
229409000 0.866081
229410000 0.866081
229411000 0.866082
229412000 0.866083
229413000 0.866084
229414000 0.866083
229415000 0.866082
229416000 0.866083
229417000 0.866086
229418000 0.866085
229419000 0.866087
229420000 0.866088
229421000 0.866087
229422000 0.866089
229423000 0.866089
229424000 0.86609
229425000 0.866091
229426000 0.86609
229427000 0.866089
229428000 0.866086
229429000 0.866085
229430000 0.866086
229431000 0.866086
229432000 0.866085
229433000 0.866086
229434000 0.866083
229435000 0.866081
229436000 0.866081
229437000 0.866081
229438000 0.86608
229439000 0.86608
229440000 0.866081
229441000 0.866079
