# Time-averaged data for fix dave
# TimeStep v_rho
11354000 0.78075
11355000 0.78076
11356000 0.780756
11357000 0.780767
11358000 0.780761
11359000 0.780763
11360000 0.780749
11361000 0.780748
11362000 0.780728
11363000 0.780715
11364000 0.780705
11365000 0.780692
11366000 0.780673
11367000 0.780666
11368000 0.780657
11369000 0.780639
11370000 0.780619
11371000 0.780614
11372000 0.780595
11373000 0.780573
11374000 0.78055
11375000 0.780541
11376000 0.780525
11377000 0.780526
11378000 0.780522
11379000 0.780542
11380000 0.780552
11381000 0.780562
11382000 0.780569
11383000 0.780591
11384000 0.780598
11385000 0.780595
11386000 0.780591
11387000 0.780599
11388000 0.780605
11389000 0.780608
11390000 0.780613
11391000 0.780611
11392000 0.780617
11393000 0.780611
11394000 0.780597
11395000 0.780593
11396000 0.780571
11397000 0.780559
11398000 0.780567
11399000 0.780576
11400000 0.780584
11401000 0.780581
11402000 0.780582
11403000 0.780591
11404000 0.780594
11405000 0.780593
11406000 0.780597
11407000 0.780617
11408000 0.780623
11409000 0.780637
11410000 0.780643
11411000 0.780641
11412000 0.78064
11413000 0.780653
11414000 0.780666
11415000 0.780675
11416000 0.780692
11417000 0.780696
11418000 0.780706
11419000 0.780719
11420000 0.780748
11421000 0.78076
11422000 0.780775
11423000 0.780785
11424000 0.780794
11425000 0.78079
11426000 0.780799
11427000 0.780807
11428000 0.780821
11429000 0.780829
11430000 0.780837
11431000 0.780846
11432000 0.780851
11433000 0.78086
11434000 0.780872
11435000 0.780884
11436000 0.780891
11437000 0.780897
11438000 0.780904
11439000 0.780911
11440000 0.780917
11441000 0.780927
11442000 0.780933
11443000 0.780933
11444000 0.780921
11445000 0.78092
11446000 0.78092
11447000 0.780918
11448000 0.780923
11449000 0.780927
11450000 0.780935
11451000 0.780946
11452000 0.780938
11453000 0.780945
11454000 0.780951
11455000 0.780953
11456000 0.780961
11457000 0.780973
11458000 0.780976
11459000 0.780989
11460000 0.780979
11461000 0.780973
11462000 0.780972
11463000 0.780973
11464000 0.780983
11465000 0.780996
11466000 0.781005
11467000 0.781023
11468000 0.781027
11469000 0.781033
11470000 0.781032
11471000 0.78104
11472000 0.781045
11473000 0.78105
11474000 0.781062
11475000 0.781064
11476000 0.781072
11477000 0.781078
11478000 0.781075
11479000 0.781079
11480000 0.781078
11481000 0.781082
11482000 0.781097
11483000 0.78111
11484000 0.781116
11485000 0.781119
11486000 0.781123
11487000 0.781125
11488000 0.781131
11489000 0.781132
11490000 0.78113
11491000 0.781137
11492000 0.78114
11493000 0.781141
11494000 0.781156
11495000 0.781162
11496000 0.781167
11497000 0.781171
11498000 0.781172
11499000 0.78118
11500000 0.781188
11501000 0.781189
11502000 0.781194
11503000 0.781206
11504000 0.781226
11505000 0.781237
11506000 0.781252
11507000 0.781267
11508000 0.781267
11509000 0.781263
11510000 0.78127
11511000 0.78127
11512000 0.781284
11513000 0.781285
11514000 0.781282
11515000 0.781296
11516000 0.781306
11517000 0.781314
11518000 0.781329
11519000 0.781334
11520000 0.781335
11521000 0.781341
11522000 0.78134
11523000 0.781329
11524000 0.781331
11525000 0.78134
11526000 0.781348
11527000 0.781351
11528000 0.781355
11529000 0.781358
11530000 0.78136
11531000 0.781347
11532000 0.781339
11533000 0.781335
11534000 0.781327
11535000 0.78132
11536000 0.781302
11537000 0.7813
11538000 0.781305
11539000 0.781314
11540000 0.781329
11541000 0.78134
11542000 0.781354
11543000 0.78137
11544000 0.781385
11545000 0.781401
11546000 0.781415
11547000 0.781428
11548000 0.78144
11549000 0.781438
11550000 0.781444
11551000 0.781455
11552000 0.781457
11553000 0.781458
11554000 0.781453
11555000 0.781452
11556000 0.781458
11557000 0.781463
11558000 0.781465
11559000 0.78147
11560000 0.781479
11561000 0.781475
11562000 0.781465
11563000 0.78147
11564000 0.781461
11565000 0.781461
11566000 0.781464
11567000 0.781469
11568000 0.781469
11569000 0.781465
11570000 0.781463
11571000 0.781464
11572000 0.781461
11573000 0.781457
11574000 0.781466
11575000 0.78147
11576000 0.781462
11577000 0.781464
11578000 0.781466
11579000 0.781473
11580000 0.781482
11581000 0.781487
11582000 0.781497
11583000 0.781499
11584000 0.781502
11585000 0.781495
11586000 0.781488
11587000 0.781473
11588000 0.781466
11589000 0.781453
11590000 0.781443
11591000 0.781435
11592000 0.781433
11593000 0.781438
11594000 0.781433
11595000 0.781433
11596000 0.781434
11597000 0.781436
11598000 0.781435
11599000 0.781426
11600000 0.781428
