# Time-averaged data for fix output_pressure
# TimeStep v_pxx v_pyy v_pzz v_pxy v_pxz v_pyz c_thermo_press
75000 0.670712 0.626045 0.674447 0.213465 -0.320772 0.153305 0.657068
76000 0.294558 0.565971 0.0982492 -0.350538 0.283454 -0.116483 0.319593
77000 0.101929 0.164893 0.483846 -0.16716 -0.0800808 0.0904564 0.250223
78000 0.260799 0.00443407 -0.101593 0.212048 -0.0863054 -0.102924 0.0545469
79000 0.262129 0.257355 0.719994 -0.0059146 -0.282278 0.215202 0.413159
80000 0.520145 0.509262 0.720823 0.0928755 0.209168 0.125495 0.58341
81000 0.301403 0.865033 0.414982 -0.0882948 -0.291527 0.202935 0.527139
82000 0.191165 0.807475 0.515971 -0.195613 -0.094015 -0.177832 0.504871
83000 -0.136697 0.300831 0.307897 -0.22977 0.0199152 -0.00581025 0.157344
84000 -0.0142126 0.0945637 -0.136157 -0.0426329 -0.410653 -0.260625 -0.0186019
85000 0.618912 0.320783 0.576258 0.067767 -0.0928781 -0.0869388 0.505318
86000 -0.439151 0.288783 0.637299 -0.126487 -0.000900948 -0.0580559 0.16231
87000 -0.117278 0.0633081 0.134825 -0.0491113 -0.124565 0.0211897 0.0269516
88000 0.37026 0.026234 0.0129167 0.0204229 0.0141114 -0.319869 0.13647
89000 -0.580461 -0.240701 -0.304457 8.5746e-05 -0.0433188 0.176276 -0.375206
90000 -0.129294 -0.0119154 0.152175 -0.186804 -0.10147 -0.166217 0.00365532
91000 0.108034 0.409834 -0.141923 -0.304134 -0.0619546 -0.177431 0.125315
92000 0.0901981 0.375929 0.128893 0.0420583 -0.214668 0.210725 0.19834
93000 -0.144451 0.616868 -0.205732 -0.00973108 0.0236319 -0.0833372 0.0888951
94000 0.320318 -0.108671 0.274511 -0.157899 0.0883498 0.0901562 0.162052
95000 0.644834 0.318501 -0.255833 0.140106 -0.190116 -0.271291 0.235834
96000 0.563969 0.404832 0.572317 0.281341 0.281698 0.107346 0.513706
97000 -0.255205 0.230811 0.108454 -0.0351993 -0.0535099 0.245195 0.0280201
98000 0.443549 0.301739 -0.132038 0.175267 -0.0212773 -0.157491 0.204417
99000 -0.213883 0.0222347 0.114408 0.292089 -0.172945 -0.147505 -0.0257467
100000 0.267072 0.844214 0.220836 -0.226802 -0.175141 -0.117353 0.444041
101000 -0.69626 0.397881 -0.0195979 0.345309 -0.0850622 0.162491 -0.105993
102000 0.179215 0.586158 0.677339 0.211788 -0.0561126 0.0397336 0.480904
103000 0.0845862 0.829933 0.228068 0.415923 0.152872 0.433858 0.380862
104000 0.139385 -0.179937 -0.0854313 -0.12935 0.395011 0.110314 -0.0419945
105000 0.00117363 0.155191 0.683974 -0.0734981 0.0225935 0.0212268 0.280113
106000 -0.146363 0.139787 0.405867 -0.175087 -0.057223 0.0665313 0.133097
107000 0.043444 -0.436655 0.476848 0.327879 0.190896 0.13717 0.0278791
108000 -0.248349 0.135053 0.00450705 -0.110273 -0.0826943 0.187023 -0.036263
109000 0.159847 -0.320427 0.0778543 0.0238784 0.127726 0.144563 -0.0275752
110000 -0.0176599 0.913477 0.533302 0.0776505 -0.0498691 -0.0453091 0.476373
111000 -0.468552 0.528118 0.234693 0.100316 -0.199908 0.40019 0.0980861
112000 0.732818 0.525949 -0.075597 0.160361 -0.170387 0.0863833 0.39439
113000 -0.00695195 0.3774 0.102819 0.165801 0.0381673 -0.0911945 0.157756
114000 0.327502 0.528349 0.340396 -0.0279863 -0.0840616 0.0341561 0.398749
115000 -0.277624 -0.0409917 -0.170464 -0.179322 0.460044 0.0878456 -0.163027
116000 0.48277 0.405197 -0.0193676 -0.245753 0.000294349 0.083439 0.289533
117000 -0.26151 0.0841271 0.587011 -0.19436 0.284684 -0.162619 0.136543
118000 0.0257583 0.245042 0.473064 0.0993323 0.28405 0.14233 0.247955
119000 0.205129 0.173026 0.68958 -0.0493351 0.127426 0.199432 0.355912
120000 -0.0509414 -0.108919 0.322553 -0.226961 0.267687 -0.212947 0.054231
121000 -0.0501515 -0.368704 0.167746 0.220267 0.420549 0.092461 -0.0837032
122000 0.31906 0.287134 0.0589889 0.03895 -0.165792 0.00396455 0.221728
