# Time-averaged data for fix state_variables
# TimeStep c_thermo_temp v_vol v_rho v_etotal v_a v_b v_c
85000 293.314 1.92769e+07 0.0037974 5423.49 268.13 268.13 268.13
86000 292.502 1.92721e+07 0.00379834 5417.42 268.108 268.108 268.108
87000 294.219 1.92673e+07 0.00379929 5454.57 268.086 268.086 268.086
88000 294.503 1.92625e+07 0.00380023 5425.92 268.063 268.063 268.063
89000 295.242 1.92577e+07 0.00380117 5454.09 268.041 268.041 268.041
90000 292.562 1.92529e+07 0.00380212 5410.92 268.019 268.019 268.019
91000 293.209 1.92482e+07 0.00380306 5425.49 267.997 267.997 267.997
92000 293.252 1.92434e+07 0.00380401 5433.18 267.975 267.975 267.975
93000 292.575 1.92386e+07 0.00380495 5408.86 267.952 267.952 267.952
94000 292.471 1.92338e+07 0.0038059 5415.91 267.93 267.93 267.93
95000 294.46 1.9229e+07 0.00380684 5468.13 267.908 267.908 267.908
96000 295.418 1.92243e+07 0.00380779 5474.71 267.886 267.886 267.886
97000 293.298 1.92195e+07 0.00380874 5428.96 267.864 267.864 267.864
98000 294.132 1.92147e+07 0.00380968 5454.59 267.842 267.842 267.842
99000 293.3 1.92099e+07 0.00381063 5439.53 267.819 267.819 267.819
100000 293.192 1.92052e+07 0.00381158 5433.92 267.797 267.797 267.797
101000 292.926 1.92004e+07 0.00381253 5448.64 267.775 267.775 267.775
102000 291.47 1.91956e+07 0.00381347 5400.85 267.753 267.753 267.753
103000 291.026 1.91908e+07 0.00381442 5383.09 267.731 267.731 267.731
104000 294.435 1.91861e+07 0.00381537 5459.69 267.708 267.708 267.708
105000 292.754 1.91813e+07 0.00381632 5420.02 267.686 267.686 267.686
106000 294.323 1.91765e+07 0.00381727 5458.18 267.664 267.664 267.664
107000 291.943 1.91717e+07 0.00381822 5433.7 267.642 267.642 267.642
108000 294.558 1.9167e+07 0.00381917 5467.71 267.62 267.62 267.62
109000 295.551 1.91622e+07 0.00382012 5484.73 267.597 267.597 267.597
110000 291.21 1.91574e+07 0.00382107 5416.51 267.575 267.575 267.575
111000 293.198 1.91527e+07 0.00382202 5421.89 267.553 267.553 267.553
112000 293.882 1.91479e+07 0.00382297 5466.01 267.531 267.531 267.531
113000 293.122 1.91431e+07 0.00382392 5443.56 267.509 267.509 267.509
114000 290.768 1.91384e+07 0.00382488 5422.25 267.486 267.486 267.486
115000 292.042 1.91336e+07 0.00382583 5437.27 267.464 267.464 267.464
116000 292.104 1.91289e+07 0.00382678 5434.83 267.442 267.442 267.442
117000 292.166 1.91241e+07 0.00382773 5430.34 267.42 267.42 267.42
118000 290.712 1.91193e+07 0.00382869 5392.18 267.398 267.398 267.398
119000 291.158 1.91146e+07 0.00382964 5369.7 267.375 267.375 267.375
120000 292.074 1.91098e+07 0.00383059 5427.7 267.353 267.353 267.353
121000 293.591 1.91051e+07 0.00383155 5447.92 267.331 267.331 267.331
122000 295.43 1.91003e+07 0.0038325 5478.86 267.309 267.309 267.309
123000 293.282 1.90955e+07 0.00383346 5438.8 267.287 267.287 267.287
124000 293 1.90908e+07 0.00383441 5439.27 267.264 267.264 267.264
125000 293.343 1.9086e+07 0.00383537 5442.3 267.242 267.242 267.242
126000 291.185 1.90813e+07 0.00383632 5414.47 267.22 267.22 267.22
127000 294.167 1.90765e+07 0.00383728 5468.68 267.198 267.198 267.198
128000 290.244 1.90718e+07 0.00383824 5396.52 267.176 267.176 267.176
129000 292.656 1.9067e+07 0.00383919 5432.7 267.154 267.154 267.154
130000 293.787 1.90623e+07 0.00384015 5450.71 267.131 267.131 267.131
131000 292.514 1.90575e+07 0.00384111 5428.17 267.109 267.109 267.109
132000 293.001 1.90528e+07 0.00384207 5455.84 267.087 267.087 267.087
133000 290.148 1.9048e+07 0.00384302 5391.39 267.065 267.065 267.065
134000 291.674 1.90433e+07 0.00384398 5409.8 267.043 267.043 267.043
135000 292.712 1.90385e+07 0.00384494 5430.01 267.02 267.02 267.02
136000 293.42 1.90338e+07 0.0038459 5454.07 266.998 266.998 266.998
137000 293.333 1.9029e+07 0.00384686 5437.34 266.976 266.976 266.976
138000 292.511 1.90243e+07 0.00384782 5424.02 266.954 266.954 266.954
139000 293.326 1.90195e+07 0.00384878 5432.9 266.932 266.932 266.932
140000 292.076 1.90148e+07 0.00384974 5419.3 266.909 266.909 266.909
141000 293.77 1.901e+07 0.0038507 5424.39 266.887 266.887 266.887
142000 294.514 1.90053e+07 0.00385166 5469.72 266.865 266.865 266.865
143000 292.919 1.90006e+07 0.00385262 5441.69 266.843 266.843 266.843
144000 292.346 1.89958e+07 0.00385358 5444.16 266.821 266.821 266.821
145000 292.597 1.89911e+07 0.00385454 5430.32 266.798 266.798 266.798
146000 294.078 1.89863e+07 0.00385551 5479.94 266.776 266.776 266.776
147000 291.825 1.89816e+07 0.00385647 5430.2 266.754 266.754 266.754
148000 293.252 1.89769e+07 0.00385743 5456.01 266.732 266.732 266.732
149000 292.072 1.89721e+07 0.00385839 5465.82 266.71 266.71 266.71
150000 293.188 1.89674e+07 0.00385936 5460.25 266.687 266.687 266.687
151000 292.286 1.89627e+07 0.00386032 5432.37 266.665 266.665 266.665
152000 294.939 1.89579e+07 0.00386128 5503.57 266.643 266.643 266.643
153000 292.987 1.89532e+07 0.00386225 5460.03 266.621 266.621 266.621
154000 291.663 1.89485e+07 0.00386321 5400.65 266.599 266.599 266.599
155000 294.153 1.89437e+07 0.00386418 5453.09 266.576 266.576 266.576
156000 294.9 1.8939e+07 0.00386514 5478.57 266.554 266.554 266.554
157000 292.914 1.89343e+07 0.00386611 5424.97 266.532 266.532 266.532
158000 292.129 1.89295e+07 0.00386708 5425.07 266.51 266.51 266.51
159000 293.364 1.89248e+07 0.00386804 5446.92 266.488 266.488 266.488
160000 294.157 1.89201e+07 0.00386901 5474.23 266.465 266.465 266.465
161000 294.352 1.89154e+07 0.00386998 5472.34 266.443 266.443 266.443
162000 295.808 1.89106e+07 0.00387094 5507.35 266.421 266.421 266.421
163000 292.705 1.89059e+07 0.00387191 5433.83 266.399 266.399 266.399
164000 294.481 1.89012e+07 0.00387288 5457.88 266.377 266.377 266.377
165000 293.332 1.88965e+07 0.00387385 5451.41 266.355 266.355 266.355
166000 294.744 1.88917e+07 0.00387481 5482.57 266.332 266.332 266.332
167000 291.173 1.8887e+07 0.00387578 5409.74 266.31 266.31 266.31
168000 294.705 1.88823e+07 0.00387675 5466.16 266.288 266.288 266.288
169000 292.208 1.88776e+07 0.00387772 5425.07 266.266 266.266 266.266
170000 292.344 1.88728e+07 0.00387869 5424.11 266.244 266.244 266.244
171000 294.525 1.88681e+07 0.00387966 5442.73 266.221 266.221 266.221
172000 292.078 1.88634e+07 0.00388063 5411.87 266.199 266.199 266.199
173000 291.766 1.88587e+07 0.0038816 5418.19 266.177 266.177 266.177
174000 296.798 1.8854e+07 0.00388257 5503.29 266.155 266.155 266.155
175000 293.133 1.88493e+07 0.00388355 5444.19 266.133 266.133 266.133
176000 294.694 1.88445e+07 0.00388452 5458.48 266.11 266.11 266.11
177000 294.314 1.88398e+07 0.00388549 5470.27 266.088 266.088 266.088
178000 293.449 1.88351e+07 0.00388646 5458.15 266.066 266.066 266.066
179000 293.161 1.88304e+07 0.00388744 5477.51 266.044 266.044 266.044
180000 295.454 1.88257e+07 0.00388841 5488.37 266.022 266.022 266.022
181000 295.741 1.8821e+07 0.00388938 5488.8 265.999 265.999 265.999
182000 292.228 1.88163e+07 0.00389036 5430.85 265.977 265.977 265.977
183000 290.94 1.88116e+07 0.00389133 5390.6 265.955 265.955 265.955
184000 295.695 1.88068e+07 0.0038923 5487.24 265.933 265.933 265.933
185000 295.122 1.88021e+07 0.00389328 5458.31 265.911 265.911 265.911
186000 293.016 1.87974e+07 0.00389425 5429.12 265.888 265.888 265.888
187000 292.273 1.87927e+07 0.00389523 5452.34 265.866 265.866 265.866
188000 294.455 1.8788e+07 0.0038962 5479.85 265.844 265.844 265.844
189000 293.509 1.87833e+07 0.00389718 5431.77 265.822 265.822 265.822
190000 292.62 1.87786e+07 0.00389816 5403.85 265.8 265.8 265.8
191000 293.751 1.87739e+07 0.00389913 5448.26 265.777 265.777 265.777
192000 294.959 1.87692e+07 0.00390011 5448.9 265.755 265.755 265.755
193000 291.934 1.87645e+07 0.00390109 5411.34 265.733 265.733 265.733
194000 293.504 1.87598e+07 0.00390207 5445.64 265.711 265.711 265.711
195000 293.045 1.87551e+07 0.00390304 5430.25 265.689 265.689 265.689
196000 292.893 1.87504e+07 0.00390402 5427.69 265.667 265.667 265.667
197000 292.543 1.87457e+07 0.003905 5412.52 265.644 265.644 265.644
198000 291.256 1.8741e+07 0.00390598 5391.32 265.622 265.622 265.622
199000 292.955 1.87363e+07 0.00390696 5404.97 265.6 265.6 265.6
200000 291.972 1.87316e+07 0.00390794 5396.82 265.578 265.578 265.578
201000 293.095 1.87269e+07 0.00390892 5427.76 265.556 265.556 265.556
202000 292.902 1.87222e+07 0.0039099 5410.44 265.533 265.533 265.533
203000 290.794 1.87175e+07 0.00391088 5379.41 265.511 265.511 265.511
204000 293.477 1.87128e+07 0.00391186 5434.32 265.489 265.489 265.489
205000 294.149 1.87081e+07 0.00391284 5464.93 265.467 265.467 265.467
206000 292.92 1.87034e+07 0.00391382 5445.08 265.445 265.445 265.445
207000 291.896 1.86988e+07 0.0039148 5412.35 265.422 265.422 265.422
208000 293.247 1.86941e+07 0.00391579 5408.19 265.4 265.4 265.4
209000 293.055 1.86894e+07 0.00391677 5443.05 265.378 265.378 265.378
210000 294.465 1.86847e+07 0.00391775 5466.41 265.356 265.356 265.356
211000 295.019 1.868e+07 0.00391873 5494.89 265.334 265.334 265.334
212000 292.476 1.86753e+07 0.00391972 5430.64 265.311 265.311 265.311
213000 292.289 1.86706e+07 0.0039207 5428.23 265.289 265.289 265.289
214000 293.717 1.86659e+07 0.00392169 5440.2 265.267 265.267 265.267
215000 292.049 1.86613e+07 0.00392267 5413.21 265.245 265.245 265.245
216000 293.126 1.86566e+07 0.00392366 5431.4 265.223 265.223 265.223
217000 293.048 1.86519e+07 0.00392464 5430.15 265.2 265.2 265.2
218000 292.929 1.86472e+07 0.00392563 5432.75 265.178 265.178 265.178
