# Spatial-averaged data for fix vpave and group all
# Timestep Number-of-bins
# Bin Coord Ncount vx
400000000 20
  1 0.025 187.127 7.51807e-05
  2 0.075 188.226 7.4703e-05
  3 0.125 187.847 7.30326e-05
  4 0.175 187.148 7.73216e-05
  5 0.225 187.587 7.63344e-05
  6 0.275 188.144 7.87713e-05
  7 0.325 188.256 7.72881e-05
  8 0.375 187.306 8.04753e-05
  9 0.425 186.881 8.2511e-05
  10 0.475 188.586 8.36136e-05
  11 0.525 186.816 8.29501e-05
  12 0.575 187.136 8.49399e-05
  13 0.625 187.224 8.66928e-05
  14 0.675 187.818 8.70542e-05
  15 0.725 187.881 8.5703e-05
  16 0.775 188.027 9.3368e-05
  17 0.825 188.222 8.98384e-05
  18 0.875 186.722 9.25548e-05
  19 0.925 186.122 9.28114e-05
  20 0.975 186.921 9.44655e-05
