# Time-averaged data for fix state_variables
# TimeStep c_thermo_temp v_vol v_rho v_etotal v_a v_b v_c
23089000 291.332 100497 0.873249 2098.38 46.4926 46.4926 46.4926
23090000 292.52 100497 0.873243 2106.86 46.4927 46.4927 46.4927
23091000 293.499 100498 0.873236 2153.95 46.4928 46.4928 46.4928
23092000 290.473 100499 0.87323 2100.05 46.4929 46.4929 46.4929
23093000 293.198 100500 0.873224 2138.57 46.4931 46.4931 46.4931
23094000 292.166 100500 0.873217 2086.96 46.4932 46.4932 46.4932
23095000 293.91 100501 0.873211 2130.35 46.4933 46.4933 46.4933
23096000 293.382 100502 0.873204 2144.84 46.4934 46.4934 46.4934
23097000 295.539 100503 0.873198 2165.45 46.4935 46.4935 46.4935
23098000 292.139 100503 0.873192 2105.89 46.4936 46.4936 46.4936
23099000 292.237 100504 0.873185 2117.17 46.4937 46.4937 46.4937
23100000 293.488 100505 0.873179 2145.25 46.4939 46.4939 46.4939
23101000 291.513 100506 0.873173 2087.51 46.494 46.494 46.494
23102000 293.646 100506 0.873166 2135.2 46.4941 46.4941 46.4941
23103000 294.089 100507 0.87316 2157.31 46.4942 46.4942 46.4942
23104000 293.466 100508 0.873153 2130.6 46.4943 46.4943 46.4943
23105000 293.139 100508 0.873147 2148.1 46.4944 46.4944 46.4944
23106000 292.165 100509 0.873141 2105.37 46.4945 46.4945 46.4945
23107000 292.749 100510 0.873134 2106.2 46.4946 46.4946 46.4946
23108000 291.915 100511 0.873128 2093.51 46.4948 46.4948 46.4948
23109000 291.533 100511 0.873122 2094.9 46.4949 46.4949 46.4949
23110000 292.753 100512 0.873115 2138.96 46.495 46.495 46.495
23111000 292.112 100513 0.873109 2108.79 46.4951 46.4951 46.4951
23112000 291.545 100514 0.873102 2115.8 46.4952 46.4952 46.4952
23113000 292.26 100514 0.873096 2122.24 46.4953 46.4953 46.4953
23114000 293.648 100515 0.87309 2180.04 46.4954 46.4954 46.4954
23115000 292.273 100516 0.873083 2128.04 46.4956 46.4956 46.4956
23116000 293.736 100517 0.873077 2156.52 46.4957 46.4957 46.4957
23117000 294.035 100517 0.873071 2171.49 46.4958 46.4958 46.4958
23118000 294.371 100518 0.873064 2180.2 46.4959 46.4959 46.4959
23119000 292.284 100519 0.873058 2106.21 46.496 46.496 46.496
23120000 293.756 100519 0.873051 2142.79 46.4961 46.4961 46.4961
23121000 293.823 100520 0.873045 2152.26 46.4962 46.4962 46.4962
23122000 291.698 100521 0.873039 2119.53 46.4963 46.4963 46.4963
23123000 293.102 100522 0.873032 2144.24 46.4965 46.4965 46.4965
23124000 293.635 100522 0.873026 2150.72 46.4966 46.4966 46.4966
23125000 292.74 100523 0.87302 2134.11 46.4967 46.4967 46.4967
23126000 295.041 100524 0.873013 2190.65 46.4968 46.4968 46.4968
23127000 291.875 100525 0.873007 2110.81 46.4969 46.4969 46.4969
23128000 293.289 100525 0.873 2134.72 46.497 46.497 46.497
23129000 293.342 100526 0.872994 2161.77 46.4971 46.4971 46.4971
23130000 294.531 100527 0.872988 2191.57 46.4972 46.4972 46.4972
23131000 293.559 100528 0.872981 2151.18 46.4974 46.4974 46.4974
23132000 293.224 100528 0.872975 2157.05 46.4975 46.4975 46.4975
23133000 292.058 100529 0.872969 2128.6 46.4976 46.4976 46.4976
23134000 290.736 100530 0.872962 2090.25 46.4977 46.4977 46.4977
23135000 293.499 100530 0.872956 2141.67 46.4978 46.4978 46.4978
23136000 290.566 100531 0.872949 2096.1 46.4979 46.4979 46.4979
23137000 291.56 100532 0.872943 2111.39 46.498 46.498 46.498
23138000 290.95 100533 0.872937 2091.25 46.4982 46.4982 46.4982
23139000 289.729 100533 0.87293 2066.25 46.4983 46.4983 46.4983
23140000 291.128 100534 0.872924 2073.84 46.4984 46.4984 46.4984
23141000 292.964 100535 0.872918 2150.96 46.4985 46.4985 46.4985
23142000 295.033 100536 0.872911 2154.96 46.4986 46.4986 46.4986
23143000 291.538 100536 0.872905 2099.09 46.4987 46.4987 46.4987
23144000 292.739 100537 0.872898 2107.3 46.4988 46.4988 46.4988
23145000 293.992 100538 0.872892 2144.2 46.4989 46.4989 46.4989
23146000 292.205 100539 0.872886 2092 46.4991 46.4991 46.4991
23147000 291.518 100539 0.872879 2108.73 46.4992 46.4992 46.4992
23148000 294.95 100540 0.872873 2160.01 46.4993 46.4993 46.4993
23149000 292.599 100541 0.872867 2104.35 46.4994 46.4994 46.4994
23150000 291.536 100541 0.87286 2083.92 46.4995 46.4995 46.4995
23151000 294.887 100542 0.872854 2158.73 46.4996 46.4996 46.4996
23152000 293.312 100543 0.872847 2127.2 46.4997 46.4997 46.4997
23153000 291.238 100544 0.872841 2073.88 46.4999 46.4999 46.4999
23154000 293.786 100544 0.872835 2122.74 46.5 46.5 46.5
23155000 293.633 100545 0.872828 2112.43 46.5001 46.5001 46.5001
23156000 293.231 100546 0.872822 2141.77 46.5002 46.5002 46.5002
23157000 292.167 100547 0.872816 2109.45 46.5003 46.5003 46.5003
23158000 294.407 100547 0.872809 2152.3 46.5004 46.5004 46.5004
23159000 293.046 100548 0.872803 2133.57 46.5005 46.5005 46.5005
23160000 291.848 100549 0.872796 2107.63 46.5006 46.5006 46.5006
23161000 292.264 100550 0.87279 2109.74 46.5008 46.5008 46.5008
23162000 293.246 100550 0.872784 2130.75 46.5009 46.5009 46.5009
23163000 293.651 100551 0.872777 2135.37 46.501 46.501 46.501
23164000 291.851 100552 0.872771 2101.31 46.5011 46.5011 46.5011
23165000 292.165 100552 0.872765 2112.67 46.5012 46.5012 46.5012
23166000 293.241 100553 0.872758 2140.57 46.5013 46.5013 46.5013
23167000 292.46 100554 0.872752 2115.08 46.5014 46.5014 46.5014
23168000 291.888 100555 0.872746 2115.37 46.5015 46.5015 46.5015
23169000 293.601 100555 0.872739 2149.37 46.5017 46.5017 46.5017
23170000 292.975 100556 0.872733 2140.24 46.5018 46.5018 46.5018
23171000 293.229 100557 0.872726 2135.17 46.5019 46.5019 46.5019
23172000 293.075 100558 0.87272 2136.96 46.502 46.502 46.502
23173000 295.099 100558 0.872714 2163.28 46.5021 46.5021 46.5021
23174000 292.924 100559 0.872707 2095.6 46.5022 46.5022 46.5022
23175000 291.066 100560 0.872701 2044.87 46.5023 46.5023 46.5023
23176000 291.251 100561 0.872695 2056.91 46.5025 46.5025 46.5025
23177000 292.459 100561 0.872688 2090.7 46.5026 46.5026 46.5026
23178000 293.391 100562 0.872682 2114.79 46.5027 46.5027 46.5027
23179000 294.213 100563 0.872675 2143.73 46.5028 46.5028 46.5028
23180000 293.728 100563 0.872669 2158.14 46.5029 46.5029 46.5029
23181000 291.866 100564 0.872663 2131.42 46.503 46.503 46.503
23182000 293.688 100565 0.872656 2139.44 46.5031 46.5031 46.5031
23183000 292.675 100566 0.87265 2114.06 46.5032 46.5032 46.5032
23184000 293.333 100566 0.872644 2133.59 46.5034 46.5034 46.5034
23185000 293.326 100567 0.872637 2132.8 46.5035 46.5035 46.5035
23186000 291.158 100568 0.872631 2091.78 46.5036 46.5036 46.5036
23187000 291.118 100569 0.872624 2061.66 46.5037 46.5037 46.5037
23188000 292.759 100569 0.872618 2119.78 46.5038 46.5038 46.5038
23189000 291.997 100570 0.872612 2094.11 46.5039 46.5039 46.5039
23190000 291.431 100571 0.872605 2100.39 46.504 46.504 46.504
23191000 292.597 100572 0.872599 2119.93 46.5042 46.5042 46.5042
23192000 292.906 100572 0.872593 2136.63 46.5043 46.5043 46.5043
23193000 293.355 100573 0.872586 2109.19 46.5044 46.5044 46.5044
23194000 295.072 100574 0.87258 2142.65 46.5045 46.5045 46.5045
23195000 292.838 100574 0.872574 2134.92 46.5046 46.5046 46.5046
23196000 292.726 100575 0.872567 2129 46.5047 46.5047 46.5047
23197000 292.549 100576 0.872561 2114.22 46.5048 46.5048 46.5048
23198000 291.59 100577 0.872554 2065.17 46.5049 46.5049 46.5049
23199000 291.879 100577 0.872548 2103.16 46.5051 46.5051 46.5051
23200000 295.063 100578 0.872542 2176.33 46.5052 46.5052 46.5052
23201000 294.898 100579 0.872535 2166.23 46.5053 46.5053 46.5053
23202000 295.612 100580 0.872529 2190.61 46.5054 46.5054 46.5054
23203000 292.989 100580 0.872523 2132.69 46.5055 46.5055 46.5055
23204000 292.913 100581 0.872516 2137.36 46.5056 46.5056 46.5056
23205000 291.553 100582 0.87251 2106.45 46.5057 46.5057 46.5057
23206000 293.814 100583 0.872503 2155.58 46.5058 46.5058 46.5058
23207000 295.528 100583 0.872497 2187.39 46.506 46.506 46.506
23208000 292.483 100584 0.872491 2120.24 46.5061 46.5061 46.5061
23209000 292.793 100585 0.872484 2126.84 46.5062 46.5062 46.5062
23210000 294.209 100586 0.872478 2168.78 46.5063 46.5063 46.5063
23211000 292.586 100586 0.872472 2139.88 46.5064 46.5064 46.5064
23212000 294.288 100587 0.872465 2161.54 46.5065 46.5065 46.5065
23213000 294.468 100588 0.872459 2164.34 46.5066 46.5066 46.5066
23214000 293.529 100588 0.872453 2149.6 46.5068 46.5068 46.5068
23215000 293.362 100589 0.872446 2140.05 46.5069 46.5069 46.5069
23216000 293.069 100590 0.87244 2121.38 46.507 46.507 46.507
23217000 291.969 100591 0.872433 2109.24 46.5071 46.5071 46.5071
23218000 291.131 100591 0.872427 2097.68 46.5072 46.5072 46.5072
23219000 293.451 100592 0.872421 2154.1 46.5073 46.5073 46.5073
23220000 292.625 100593 0.872414 2124.12 46.5074 46.5074 46.5074
23221000 292.946 100594 0.872408 2127.47 46.5075 46.5075 46.5075
23222000 291.51 100594 0.872402 2114.64 46.5077 46.5077 46.5077
23223000 293.523 100595 0.872395 2130.13 46.5078 46.5078 46.5078
23224000 292.731 100596 0.872389 2128.32 46.5079 46.5079 46.5079
23225000 291.809 100597 0.872382 2116.95 46.508 46.508 46.508
23226000 293.203 100597 0.872376 2156.15 46.5081 46.5081 46.5081
23227000 291.978 100598 0.87237 2142.12 46.5082 46.5082 46.5082
23228000 292.263 100599 0.872363 2151.62 46.5083 46.5083 46.5083
23229000 293.337 100599 0.872357 2161.79 46.5085 46.5085 46.5085
23230000 293.675 100600 0.872351 2165.61 46.5086 46.5086 46.5086
23231000 292.69 100601 0.872344 2121.91 46.5087 46.5087 46.5087
23232000 292.418 100602 0.872338 2125.97 46.5088 46.5088 46.5088
23233000 291.833 100602 0.872332 2097.32 46.5089 46.5089 46.5089
23234000 292.877 100603 0.872325 2126.77 46.509 46.509 46.509
23235000 293.089 100604 0.872319 2135.43 46.5091 46.5091 46.5091
23236000 293.714 100605 0.872312 2142.03 46.5092 46.5092 46.5092
23237000 293.295 100605 0.872306 2138.9 46.5094 46.5094 46.5094
23238000 292.429 100606 0.8723 2117.13 46.5095 46.5095 46.5095
23239000 293.12 100607 0.872293 2152.42 46.5096 46.5096 46.5096
23240000 295.517 100608 0.872287 2176.39 46.5097 46.5097 46.5097
23241000 293.204 100608 0.872281 2131.39 46.5098 46.5098 46.5098
23242000 294.07 100609 0.872274 2149.97 46.5099 46.5099 46.5099
23243000 293.251 100610 0.872268 2118.09 46.51 46.51 46.51
23244000 291.149 100610 0.872261 2102.79 46.5101 46.5101 46.5101
23245000 293.696 100611 0.872255 2154.64 46.5103 46.5103 46.5103
23246000 292.845 100612 0.872249 2125.6 46.5104 46.5104 46.5104
23247000 291.525 100613 0.872242 2104.18 46.5105 46.5105 46.5105
23248000 293.009 100613 0.872236 2150.71 46.5106 46.5106 46.5106
23249000 292.348 100614 0.87223 2117.41 46.5107 46.5107 46.5107
23250000 292.969 100615 0.872223 2131.23 46.5108 46.5108 46.5108
23251000 293.562 100616 0.872217 2156.05 46.5109 46.5109 46.5109
23252000 293.886 100616 0.872211 2170.31 46.5111 46.5111 46.5111
23253000 293.544 100617 0.872204 2161.72 46.5112 46.5112 46.5112
23254000 294.845 100618 0.872198 2172.73 46.5113 46.5113 46.5113
23255000 292.48 100619 0.872191 2139.34 46.5114 46.5114 46.5114
23256000 294.723 100619 0.872185 2159.7 46.5115 46.5115 46.5115
23257000 290.518 100620 0.872179 2082.89 46.5116 46.5116 46.5116
23258000 293.169 100621 0.872172 2149.03 46.5117 46.5117 46.5117
23259000 292.115 100621 0.872166 2116.88 46.5118 46.5118 46.5118
23260000 294.077 100622 0.87216 2182.57 46.512 46.512 46.512
23261000 292.934 100623 0.872153 2134.7 46.5121 46.5121 46.5121
23262000 292.036 100624 0.872147 2111.88 46.5122 46.5122 46.5122
23263000 294.982 100624 0.872141 2182.42 46.5123 46.5123 46.5123
23264000 293.129 100625 0.872134 2131.93 46.5124 46.5124 46.5124
23265000 291.299 100626 0.872128 2104.53 46.5125 46.5125 46.5125
23266000 292.372 100627 0.872121 2122.83 46.5126 46.5126 46.5126
23267000 294.007 100627 0.872115 2150.37 46.5128 46.5128 46.5128
23268000 293.554 100628 0.872109 2124.76 46.5129 46.5129 46.5129
23269000 293.51 100629 0.872102 2131.56 46.513 46.513 46.513
23270000 293.2 100630 0.872096 2109.77 46.5131 46.5131 46.5131
23271000 293.198 100630 0.87209 2123.87 46.5132 46.5132 46.5132
23272000 292.598 100631 0.872083 2114.28 46.5133 46.5133 46.5133
23273000 291.67 100632 0.872077 2096.15 46.5134 46.5134 46.5134
23274000 293.043 100633 0.872071 2111.08 46.5135 46.5135 46.5135
23275000 293.462 100633 0.872064 2123.55 46.5137 46.5137 46.5137
23276000 292.87 100634 0.872058 2115.98 46.5138 46.5138 46.5138
23277000 291.389 100635 0.872051 2082.26 46.5139 46.5139 46.5139
23278000 292.596 100635 0.872045 2119.23 46.514 46.514 46.514
23279000 292.788 100636 0.872039 2141.65 46.5141 46.5141 46.5141
23280000 291.601 100637 0.872032 2089.11 46.5142 46.5142 46.5142
23281000 294.59 100638 0.872026 2151.64 46.5143 46.5143 46.5143
23282000 289.78 100638 0.87202 2050.7 46.5144 46.5144 46.5144
23283000 294.613 100639 0.872013 2157.34 46.5146 46.5146 46.5146
23284000 292.845 100640 0.872007 2127.79 46.5147 46.5147 46.5147
23285000 293.907 100641 0.872001 2150.07 46.5148 46.5148 46.5148
23286000 293.752 100641 0.871994 2145.89 46.5149 46.5149 46.5149
23287000 291.866 100642 0.871988 2113.6 46.515 46.515 46.515
23288000 291.825 100643 0.871981 2130.31 46.5151 46.5151 46.5151
23289000 293.305 100644 0.871975 2136.09 46.5152 46.5152 46.5152
23290000 293.765 100644 0.871969 2153.07 46.5154 46.5154 46.5154
23291000 291.669 100645 0.871962 2083.37 46.5155 46.5155 46.5155
23292000 292.174 100646 0.871956 2118.84 46.5156 46.5156 46.5156
23293000 292.931 100646 0.87195 2134.41 46.5157 46.5157 46.5157
23294000 296.42 100647 0.871943 2213.25 46.5158 46.5158 46.5158
23295000 293.574 100648 0.871937 2116.02 46.5159 46.5159 46.5159
23296000 295.913 100649 0.871931 2186.43 46.516 46.516 46.516
