# Time-averaged data for fix dave
# TimeStep v_rho
125354000 0.765064
125355000 0.765091
125356000 0.765101
125357000 0.765125
125358000 0.765138
125359000 0.765155
125360000 0.765179
125361000 0.765197
125362000 0.765219
125363000 0.765231
125364000 0.765251
125365000 0.765252
125366000 0.765265
125367000 0.765272
125368000 0.765259
125369000 0.765257
125370000 0.765275
125371000 0.765279
125372000 0.765289
125373000 0.765296
125374000 0.765271
125375000 0.765253
125376000 0.76526
125377000 0.765266
125378000 0.765262
125379000 0.765261
125380000 0.765254
125381000 0.765258
125382000 0.765258
125383000 0.765254
125384000 0.765255
125385000 0.765251
125386000 0.76524
125387000 0.765235
125388000 0.765236
125389000 0.765243
125390000 0.76525
125391000 0.765272
125392000 0.765285
125393000 0.765305
125394000 0.765307
125395000 0.76531
125396000 0.765296
125397000 0.765293
125398000 0.765275
125399000 0.765271
125400000 0.76527
125401000 0.765277
125402000 0.765285
125403000 0.765288
125404000 0.765277
125405000 0.765256
125406000 0.765255
125407000 0.765256
125408000 0.765265
125409000 0.765264
125410000 0.765262
125411000 0.765268
125412000 0.76528
125413000 0.765269
125414000 0.765261
125415000 0.765259
125416000 0.765261
125417000 0.765253
125418000 0.765258
125419000 0.765242
125420000 0.765233
125421000 0.765213
125422000 0.765214
125423000 0.765197
125424000 0.765178
125425000 0.765167
125426000 0.765148
125427000 0.765139
125428000 0.765126
125429000 0.765118
125430000 0.765112
125431000 0.765108
125432000 0.765091
125433000 0.765074
125434000 0.765061
125435000 0.765045
125436000 0.76503
125437000 0.765015
125438000 0.765004
125439000 0.764994
125440000 0.764976
125441000 0.764979
125442000 0.76496
125443000 0.764935
125444000 0.764899
125445000 0.764889
125446000 0.764866
125447000 0.764844
125448000 0.764839
125449000 0.764818
125450000 0.764794
125451000 0.764781
125452000 0.764763
125453000 0.764747
125454000 0.764717
125455000 0.764704
125456000 0.764686
125457000 0.764696
125458000 0.764694
125459000 0.764693
125460000 0.764694
125461000 0.764683
125462000 0.764686
125463000 0.764692
125464000 0.764701
125465000 0.764702
125466000 0.764716
125467000 0.764731
125468000 0.764744
125469000 0.764762
125470000 0.764779
125471000 0.764787
125472000 0.7648
125473000 0.764814
125474000 0.764825
125475000 0.76483
125476000 0.764822
125477000 0.764819
125478000 0.764808
125479000 0.764797
125480000 0.764792
125481000 0.76479
125482000 0.764784
125483000 0.764788
125484000 0.764788
125485000 0.764792
125486000 0.764791
125487000 0.764785
125488000 0.764793
125489000 0.764809
125490000 0.764814
125491000 0.764815
125492000 0.764807
125493000 0.764796
125494000 0.764787
125495000 0.764786
125496000 0.764791
125497000 0.764783
125498000 0.764787
125499000 0.764787
125500000 0.764788
125501000 0.764802
125502000 0.764813
125503000 0.764816
125504000 0.764817
125505000 0.764825
125506000 0.76482
125507000 0.764818
125508000 0.764819
125509000 0.764831
125510000 0.764841
125511000 0.76483
125512000 0.764827
125513000 0.764831
125514000 0.76482
125515000 0.764817
125516000 0.764812
125517000 0.76481
125518000 0.764793
125519000 0.764788
125520000 0.76479
125521000 0.764791
125522000 0.764783
125523000 0.764774
125524000 0.764777
125525000 0.76477
125526000 0.764778
125527000 0.76478
125528000 0.764791
125529000 0.7648
125530000 0.764801
125531000 0.764795
125532000 0.764801
125533000 0.7648
125534000 0.764804
125535000 0.764805
125536000 0.76481
125537000 0.764795
125538000 0.7648
125539000 0.764795
125540000 0.764786
125541000 0.764792
125542000 0.764789
125543000 0.764783
125544000 0.764777
125545000 0.764775
125546000 0.76478
125547000 0.764795
125548000 0.764803
125549000 0.764811
125550000 0.764802
125551000 0.764796
125552000 0.764795
125553000 0.764796
125554000 0.764787
125555000 0.764783
125556000 0.764793
125557000 0.764788
125558000 0.764782
125559000 0.764781
125560000 0.764791
125561000 0.7648
125562000 0.764809
125563000 0.764809
125564000 0.764803
125565000 0.7648
125566000 0.764802
125567000 0.764795
125568000 0.764797
125569000 0.764796
125570000 0.76479
125571000 0.764785
125572000 0.764783
125573000 0.764784
125574000 0.764773
125575000 0.764774
