# Time-averaged data for fix dave
# TimeStep v_rho
116002000 0.765798
116003000 0.761302
116004000 0.760923
116005000 0.760131
116006000 0.76158
116007000 0.761554
116008000 0.762458
116009000 0.762681
116010000 0.763456
116011000 0.763955
116012000 0.764558
116013000 0.764352
116014000 0.764408
116015000 0.764022
116016000 0.764021
116017000 0.76416
116018000 0.763926
116019000 0.763573
116020000 0.763052
116021000 0.762925
116022000 0.762945
116023000 0.762632
116024000 0.762376
116025000 0.761812
116026000 0.761857
116027000 0.7619
116028000 0.762042
116029000 0.76224
116030000 0.762055
116031000 0.761927
116032000 0.761942
116033000 0.761886
116034000 0.761947
116035000 0.761927
116036000 0.762001
116037000 0.762022
116038000 0.762128
116039000 0.762254
116040000 0.762224
116041000 0.762355
116042000 0.762617
116043000 0.762772
116044000 0.762958
116045000 0.763264
116046000 0.763488
116047000 0.763601
116048000 0.76361
116049000 0.763717
116050000 0.763751
116051000 0.763748
116052000 0.763781
116053000 0.763965
116054000 0.764019
116055000 0.764059
116056000 0.764122
116057000 0.764282
116058000 0.76437
116059000 0.764442
116060000 0.764462
116061000 0.764406
116062000 0.764395
116063000 0.764282
116064000 0.764224
116065000 0.76418
116066000 0.764102
116067000 0.764154
116068000 0.764174
116069000 0.764264
116070000 0.764423
116071000 0.764488
116072000 0.764584
116073000 0.764606
116074000 0.764566
116075000 0.764528
116076000 0.764485
116077000 0.764426
116078000 0.764457
116079000 0.764501
116080000 0.764514
116081000 0.76451
116082000 0.76453
116083000 0.764569
116084000 0.76461
116085000 0.764613
116086000 0.764528
116087000 0.764604
116088000 0.764579
116089000 0.76462
116090000 0.764673
116091000 0.764714
116092000 0.764735
116093000 0.764723
116094000 0.764741
116095000 0.764765
116096000 0.764775
116097000 0.764755
116098000 0.764696
116099000 0.764713
116100000 0.764715
116101000 0.764725
116102000 0.764743
116103000 0.76477
116104000 0.764775
116105000 0.764781
116106000 0.764765
116107000 0.764751
116108000 0.764742
116109000 0.764805
116110000 0.764818
116111000 0.764807
116112000 0.764837
116113000 0.764897
116114000 0.764915
116115000 0.764982
116116000 0.765054
116117000 0.765076
116118000 0.765129
116119000 0.765204
116120000 0.765216
116121000 0.76532
116122000 0.76536
116123000 0.765375
116124000 0.765352
116125000 0.765357
116126000 0.765321
116127000 0.76525
116128000 0.765197
116129000 0.76518
116130000 0.765211
116131000 0.765252
116132000 0.765281
