# Time-averaged data for fix dave
# TimeStep v_massdensity
18309000 0.86523
18310000 0.865232
18311000 0.865229
18312000 0.865222
18313000 0.865229
18314000 0.865232
18315000 0.865243
18316000 0.865243
18317000 0.865243
18318000 0.865244
18319000 0.865248
18320000 0.865248
18321000 0.865242
18322000 0.865245
18323000 0.865246
18324000 0.865246
18325000 0.865247
18326000 0.865245
18327000 0.865248
18328000 0.865247
18329000 0.865252
18330000 0.865262
18331000 0.865274
18332000 0.865285
18333000 0.865293
18334000 0.865302
18335000 0.865312
18336000 0.865319
18337000 0.865321
18338000 0.865329
18339000 0.865328
18340000 0.865334
18341000 0.865341
18342000 0.86535
18343000 0.865351
18344000 0.865367
18345000 0.865373
18346000 0.865385
18347000 0.865398
18348000 0.865405
18349000 0.865415
18350000 0.865422
18351000 0.86543
18352000 0.865443
18353000 0.865453
18354000 0.865463
18355000 0.865471
18356000 0.865475
18357000 0.865483
18358000 0.865489
18359000 0.865493
18360000 0.865496
18361000 0.86551
18362000 0.865522
18363000 0.865535
18364000 0.865544
18365000 0.865558
18366000 0.865568
18367000 0.865579
18368000 0.865585
18369000 0.865594
18370000 0.865605
18371000 0.865608
18372000 0.865619
18373000 0.865632
18374000 0.865641
18375000 0.865647
18376000 0.865664
18377000 0.865672
18378000 0.865686
18379000 0.865692
18380000 0.865692
18381000 0.865702
18382000 0.86571
18383000 0.865718
18384000 0.865721
18385000 0.865725
18386000 0.865728
18387000 0.865735
18388000 0.865737
18389000 0.865746
18390000 0.865753
18391000 0.865757
18392000 0.865762
18393000 0.865765
18394000 0.865767
18395000 0.865769
18396000 0.865767
18397000 0.865772
18398000 0.865774
18399000 0.86577
18400000 0.865765
18401000 0.865761
18402000 0.865754
18403000 0.865756
18404000 0.865753
18405000 0.865753
18406000 0.865749
18407000 0.865754
18408000 0.865751
18409000 0.865748
18410000 0.865745
18411000 0.865739
18412000 0.865736
18413000 0.865725
18414000 0.865715
18415000 0.865718
18416000 0.865716
18417000 0.865718
18418000 0.865717
18419000 0.865716
18420000 0.865722
18421000 0.865724
18422000 0.865726
18423000 0.865727
18424000 0.865731
18425000 0.865738
18426000 0.865745
18427000 0.865755
18428000 0.865762
18429000 0.865765
18430000 0.865771
18431000 0.865773
18432000 0.865771
18433000 0.865778
18434000 0.865785
18435000 0.865785
18436000 0.86579
18437000 0.865792
18438000 0.865792
18439000 0.865795
18440000 0.865797
18441000 0.865802
18442000 0.865804
18443000 0.865806
18444000 0.86581
18445000 0.865807
18446000 0.865805
18447000 0.865808
18448000 0.865808
18449000 0.865811
18450000 0.865809
18451000 0.865811
18452000 0.865813
18453000 0.865814
18454000 0.86581
18455000 0.865805
18456000 0.865806
18457000 0.865809
18458000 0.865812
18459000 0.865815
18460000 0.865825
18461000 0.86583
18462000 0.865834
18463000 0.865842
18464000 0.865846
18465000 0.865853
18466000 0.865853
18467000 0.865854
18468000 0.865854
18469000 0.865852
18470000 0.865856
18471000 0.865855
18472000 0.865853
18473000 0.865849
18474000 0.865846
18475000 0.865848
18476000 0.865848
18477000 0.865846
18478000 0.865847
18479000 0.865844
18480000 0.86584
18481000 0.865838
18482000 0.865834
18483000 0.865833
18484000 0.865829
18485000 0.865826
18486000 0.865827
18487000 0.865827
18488000 0.865825
18489000 0.865829
18490000 0.865834
18491000 0.865836
18492000 0.865833
18493000 0.865831
18494000 0.865831
18495000 0.86583
18496000 0.865832
18497000 0.865826
18498000 0.865828
18499000 0.865827
18500000 0.865828
18501000 0.865831
18502000 0.865832
18503000 0.865831
18504000 0.865832
18505000 0.865832
18506000 0.865834
18507000 0.865836
18508000 0.865839
18509000 0.865847
18510000 0.865851
18511000 0.865854
18512000 0.865865
18513000 0.865873
18514000 0.865883
18515000 0.865887
18516000 0.865889
18517000 0.865894
18518000 0.865897
18519000 0.865902
18520000 0.8659
18521000 0.865905
18522000 0.865904
18523000 0.865906
18524000 0.865906
18525000 0.865901
18526000 0.865902
18527000 0.865902
18528000 0.865901
18529000 0.865901
18530000 0.865898
18531000 0.865897
18532000 0.865896
18533000 0.865896
18534000 0.865894
18535000 0.865887
18536000 0.865886
18537000 0.865883
18538000 0.865883
18539000 0.865878
18540000 0.865872
18541000 0.86587
18542000 0.865867
18543000 0.865864
18544000 0.865859
18545000 0.865857
18546000 0.865853
18547000 0.865844
18548000 0.86584
18549000 0.865836
18550000 0.865829
18551000 0.865826
18552000 0.865822
18553000 0.865816
18554000 0.865812
18555000 0.865804
18556000 0.8658
18557000 0.865794
18558000 0.86579
18559000 0.865783
18560000 0.865774
18561000 0.865768
18562000 0.865764
18563000 0.865759
18564000 0.865752
18565000 0.865748
18566000 0.865745
18567000 0.86574
18568000 0.865735
18569000 0.865731
18570000 0.865728
18571000 0.865726
18572000 0.865725
18573000 0.865723
18574000 0.865726
18575000 0.865722
18576000 0.865719
18577000 0.86572
18578000 0.865719
18579000 0.865719
18580000 0.865718
18581000 0.865719
18582000 0.865713
18583000 0.86571
18584000 0.865706
18585000 0.865704
18586000 0.865704
18587000 0.865707
18588000 0.865704
18589000 0.865702
18590000 0.865702
18591000 0.8657
18592000 0.865701
18593000 0.865701
18594000 0.865699
18595000 0.865695
18596000 0.86569
18597000 0.865688
18598000 0.865684
18599000 0.865679
18600000 0.865676
18601000 0.865671
18602000 0.865668
18603000 0.865662
18604000 0.865655
18605000 0.865649
18606000 0.865643
18607000 0.865637
18608000 0.865631
18609000 0.865628
18610000 0.865622
18611000 0.86562
18612000 0.86562
18613000 0.86562
18614000 0.86562
18615000 0.86562
18616000 0.865617
18617000 0.865618
18618000 0.865619
18619000 0.865616
18620000 0.865612
18621000 0.865609
18622000 0.865602
18623000 0.865602
18624000 0.865602
18625000 0.8656
18626000 0.865599
18627000 0.865598
18628000 0.865603
18629000 0.865606
18630000 0.86561
18631000 0.865612
18632000 0.86561
18633000 0.865613
18634000 0.865611
18635000 0.865612
18636000 0.865613
18637000 0.86561
18638000 0.865613
18639000 0.865614
18640000 0.865614
18641000 0.865618
18642000 0.865619
18643000 0.865619
18644000 0.865617
18645000 0.865616
18646000 0.865618
18647000 0.865619
18648000 0.865618
18649000 0.865617
18650000 0.865618
18651000 0.865618
18652000 0.865614
18653000 0.865614
18654000 0.865607
18655000 0.865603
18656000 0.865599
18657000 0.865596
18658000 0.865593
18659000 0.865594
18660000 0.865597
18661000 0.865596
18662000 0.865599
18663000 0.865604
18664000 0.865606
18665000 0.865612
18666000 0.865615
18667000 0.865619
18668000 0.865622
18669000 0.865622
18670000 0.865626
18671000 0.865631
18672000 0.865636
18673000 0.865638
18674000 0.865641
18675000 0.865643
18676000 0.865647
18677000 0.865648
18678000 0.86565
18679000 0.865652
18680000 0.865655
18681000 0.86566
18682000 0.86566
18683000 0.86566
18684000 0.865663
18685000 0.865665
18686000 0.865667
18687000 0.86567
18688000 0.865676
18689000 0.865681
18690000 0.865687
18691000 0.865688
18692000 0.86569
18693000 0.865692
18694000 0.865691
18695000 0.86569
18696000 0.865693
18697000 0.865695
18698000 0.865699
18699000 0.8657
18700000 0.865703
18701000 0.865707
18702000 0.86571
18703000 0.865709
18704000 0.865712
18705000 0.86571
18706000 0.865712
18707000 0.865717
18708000 0.865717
18709000 0.865721
18710000 0.865722
18711000 0.865727
18712000 0.865731
18713000 0.865734
18714000 0.865737
18715000 0.865741
18716000 0.865742
18717000 0.865745
18718000 0.865748
18719000 0.865751
18720000 0.865752
18721000 0.865756
18722000 0.865761
18723000 0.865764
18724000 0.865768
18725000 0.865769
18726000 0.865774
18727000 0.865782
18728000 0.865789
18729000 0.865794
18730000 0.865799
18731000 0.865804
18732000 0.865808
18733000 0.865812
18734000 0.865813
18735000 0.865818
18736000 0.865821
18737000 0.865827
18738000 0.865831
18739000 0.865836
18740000 0.865841
18741000 0.865845
18742000 0.865849
18743000 0.865853
18744000 0.865855
18745000 0.865856
18746000 0.865859
18747000 0.865863
18748000 0.865869
18749000 0.865872
18750000 0.865875
18751000 0.865881
18752000 0.865884
18753000 0.865887
18754000 0.865892
18755000 0.865897
18756000 0.865901
18757000 0.865904
18758000 0.865908
18759000 0.865914
18760000 0.865918
18761000 0.865921
18762000 0.865926
18763000 0.865933
18764000 0.865936
18765000 0.865941
18766000 0.865946
18767000 0.865949
18768000 0.865953
18769000 0.865955
18770000 0.865961
18771000 0.865964
18772000 0.865966
18773000 0.865969
18774000 0.865972
18775000 0.865973
18776000 0.865977
18777000 0.865982
18778000 0.865985
18779000 0.865989
18780000 0.865995
18781000 0.866001
18782000 0.866006
18783000 0.866009
18784000 0.866013
18785000 0.866014
18786000 0.866016
18787000 0.866015
18788000 0.866015
18789000 0.866013
18790000 0.866013
18791000 0.866016
18792000 0.866019
18793000 0.86602
18794000 0.866023
18795000 0.866023
18796000 0.866024
18797000 0.866026
18798000 0.866026
18799000 0.866031
18800000 0.866036
18801000 0.866041
18802000 0.866044
18803000 0.866045
18804000 0.866046
18805000 0.866046
18806000 0.866049
18807000 0.866048
18808000 0.866051
18809000 0.866049
18810000 0.866047
18811000 0.866045
18812000 0.866043
18813000 0.866044
18814000 0.866047
18815000 0.866049
18816000 0.866051
18817000 0.866054
18818000 0.866056
18819000 0.86606
18820000 0.866065
18821000 0.866065
18822000 0.866066
18823000 0.866068
18824000 0.86607
18825000 0.866075
18826000 0.866079
18827000 0.866084
18828000 0.86609
18829000 0.866096
18830000 0.866101
18831000 0.866105
18832000 0.866109
18833000 0.866113
18834000 0.866119
18835000 0.866123
18836000 0.866125
18837000 0.866129
18838000 0.866131
18839000 0.866131
18840000 0.866134
18841000 0.866137
18842000 0.866137
18843000 0.86614
18844000 0.866141
18845000 0.866146
18846000 0.86615
18847000 0.866153
18848000 0.866155
18849000 0.866161
18850000 0.866165
18851000 0.866168
18852000 0.866172
18853000 0.866174
18854000 0.866176
18855000 0.86618
18856000 0.866185
18857000 0.866186
18858000 0.86619
18859000 0.866193
18860000 0.866198
18861000 0.8662
18862000 0.866205
18863000 0.866209
18864000 0.866211
18865000 0.866215
18866000 0.866216
18867000 0.866216
18868000 0.866217
18869000 0.86622
18870000 0.866218
18871000 0.866218
18872000 0.866216
18873000 0.866215
18874000 0.866216
18875000 0.866217
18876000 0.866219
18877000 0.86622
18878000 0.866224
18879000 0.866224
18880000 0.866228
18881000 0.866229
18882000 0.86623
18883000 0.866235
18884000 0.866239
18885000 0.866242
18886000 0.866242
18887000 0.866243
18888000 0.866248
18889000 0.866252
18890000 0.866256
18891000 0.86626
18892000 0.866263
18893000 0.866266
18894000 0.86627
18895000 0.866273
18896000 0.86628
18897000 0.866286
18898000 0.86629
18899000 0.866293
18900000 0.866299
18901000 0.866304
18902000 0.866308
18903000 0.86631
18904000 0.866315
18905000 0.866319
18906000 0.866321
18907000 0.866328
18908000 0.86633
18909000 0.866332
18910000 0.866336
18911000 0.866336
18912000 0.866338
18913000 0.866342
18914000 0.866346
18915000 0.866351
18916000 0.866353
18917000 0.866354
18918000 0.866355
18919000 0.866357
18920000 0.86636
18921000 0.866365
18922000 0.866369
18923000 0.866371
18924000 0.866373
18925000 0.866375
18926000 0.866375
18927000 0.866377
18928000 0.866382
18929000 0.866386
18930000 0.866391
18931000 0.866396
18932000 0.866401
18933000 0.866406
18934000 0.86641
18935000 0.866414
18936000 0.866417
18937000 0.866418
18938000 0.866421
18939000 0.866425
18940000 0.866429
18941000 0.866434
18942000 0.866437
18943000 0.866441
18944000 0.866443
18945000 0.866443
18946000 0.866443
18947000 0.866445
18948000 0.866445
18949000 0.866446
18950000 0.866448
18951000 0.866453
18952000 0.866454
18953000 0.866452
18954000 0.866454
18955000 0.866455
18956000 0.866456
18957000 0.866458
18958000 0.86646
18959000 0.866464
18960000 0.866466
18961000 0.866468
18962000 0.866469
18963000 0.86647
18964000 0.86647
18965000 0.866468
18966000 0.86647
18967000 0.866472
18968000 0.866476
18969000 0.866477
18970000 0.86648
18971000 0.866479
18972000 0.866476
18973000 0.866481
18974000 0.866485
18975000 0.866486
18976000 0.866484
18977000 0.866484
18978000 0.866484
18979000 0.866485
18980000 0.866488
18981000 0.866487
18982000 0.866488
18983000 0.866486
18984000 0.866486
18985000 0.866487
18986000 0.866487
18987000 0.866488
18988000 0.866485
18989000 0.866486
18990000 0.866485
18991000 0.866487
18992000 0.866489
18993000 0.866489
18994000 0.86649
18995000 0.866489
18996000 0.866486
18997000 0.866484
18998000 0.866481
18999000 0.866476
19000000 0.866476
19001000 0.866476
19002000 0.866476
19003000 0.866476
19004000 0.866479
19005000 0.866477
19006000 0.866477
19007000 0.866476
19008000 0.866478
19009000 0.866479
19010000 0.866481
19011000 0.866479
19012000 0.866481
19013000 0.866482
19014000 0.866483
19015000 0.866482
19016000 0.866482
19017000 0.866481
19018000 0.866482
19019000 0.866485
19020000 0.866486
19021000 0.866488
19022000 0.866488
19023000 0.86649
19024000 0.86649
19025000 0.866493
19026000 0.866493
19027000 0.866495
19028000 0.866496
19029000 0.866498
19030000 0.8665
19031000 0.866502
19032000 0.866504
19033000 0.866507
19034000 0.866507
19035000 0.866511
19036000 0.866512
19037000 0.86651
19038000 0.866512
19039000 0.866514
19040000 0.866516
19041000 0.866518
19042000 0.866517
19043000 0.866519
19044000 0.86652
19045000 0.86652
19046000 0.866521
19047000 0.866523
19048000 0.866526
19049000 0.866528
19050000 0.866531
19051000 0.866532
19052000 0.866535
19053000 0.866536
19054000 0.866535
19055000 0.866535
19056000 0.866537
19057000 0.866539
19058000 0.866539
19059000 0.866538
19060000 0.86654
19061000 0.866541
19062000 0.866542
19063000 0.866544
19064000 0.866546
19065000 0.866549
19066000 0.866553
19067000 0.866555
19068000 0.866558
19069000 0.86656
19070000 0.866562
19071000 0.866564
19072000 0.866566
19073000 0.866568
19074000 0.86657
19075000 0.866571
19076000 0.866571
19077000 0.866572
19078000 0.866574
19079000 0.866573
19080000 0.866574
19081000 0.866574
19082000 0.866575
19083000 0.866572
19084000 0.866572
19085000 0.866572
19086000 0.866572
19087000 0.866573
19088000 0.866574
19089000 0.866573
19090000 0.866575
19091000 0.866578
19092000 0.866576
19093000 0.866575
19094000 0.866577
19095000 0.866581
19096000 0.866582
19097000 0.866583
19098000 0.866586
19099000 0.866587
19100000 0.866591
19101000 0.866594
19102000 0.8666
19103000 0.866604
19104000 0.866609
19105000 0.866615
19106000 0.866617
19107000 0.866621
19108000 0.866625
19109000 0.866631
19110000 0.866635
19111000 0.866639
19112000 0.866642
19113000 0.866646
19114000 0.866649
19115000 0.866653
19116000 0.866656
19117000 0.86666
19118000 0.866662
19119000 0.866666
19120000 0.86667
19121000 0.866673
19122000 0.866674
19123000 0.866677
19124000 0.866681
19125000 0.866684
19126000 0.866686
19127000 0.866688
19128000 0.866694
19129000 0.866698
19130000 0.866704
19131000 0.866708
19132000 0.866712
19133000 0.866717
19134000 0.866721
19135000 0.866727
19136000 0.866731
19137000 0.866736
19138000 0.866742
19139000 0.866747
19140000 0.866752
19141000 0.866757
19142000 0.866762
19143000 0.866765
19144000 0.86677
19145000 0.866774
19146000 0.866777
19147000 0.86678
19148000 0.866782
19149000 0.866783
19150000 0.866785
19151000 0.866789
19152000 0.86679
19153000 0.866797
19154000 0.8668
19155000 0.866806
19156000 0.866812
19157000 0.866817
19158000 0.866823
19159000 0.866826
19160000 0.866831
19161000 0.866836
19162000 0.86684
19163000 0.866842
19164000 0.86685
19165000 0.866856
19166000 0.866858
19167000 0.866862
19168000 0.866866
19169000 0.86687
19170000 0.866874
19171000 0.86688
19172000 0.866884
19173000 0.866889
19174000 0.866893
19175000 0.866897
19176000 0.866899
19177000 0.866903
19178000 0.866908
19179000 0.866913
19180000 0.866916
19181000 0.86692
19182000 0.866924
19183000 0.866928
19184000 0.866932
19185000 0.866935
19186000 0.866938
19187000 0.866942
19188000 0.866944
19189000 0.866946
19190000 0.866947
19191000 0.866946
