# Time-averaged data for fix dave
# TimeStep v_massdensity
13001000 0.865592
13002000 0.865592
13003000 0.865592
13004000 0.865592
13005000 0.865592
13006000 0.865592
13007000 0.865592
13008000 0.865592
13009000 0.865592
13010000 0.865592
13011000 0.865592
13012000 0.865592
13013000 0.865592
13014000 0.865592
13015000 0.865592
13016000 0.865592
13017000 0.865592
13018000 0.865592
13019000 0.865592
13020000 0.865592
13021000 0.865592
13022000 0.865592
13023000 0.865592
13024000 0.865592
13025000 0.865592
13026000 0.865592
13027000 0.865592
13028000 0.865592
13029000 0.865592
13030000 0.865592
13031000 0.865592
13032000 0.865592
13033000 0.865592
13034000 0.865592
13035000 0.865592
13036000 0.865592
13037000 0.865592
13038000 0.865592
13039000 0.865592
13040000 0.865592
13041000 0.865592
13042000 0.865592
13043000 0.865592
13044000 0.865592
13045000 0.865592
13046000 0.865592
13047000 0.865592
13048000 0.865592
13049000 0.865592
13050000 0.865592
13051000 0.865592
13052000 0.865592
13053000 0.865592
13054000 0.865592
13055000 0.865592
13056000 0.865592
13057000 0.865592
13058000 0.865592
13059000 0.865592
13060000 0.865592
13061000 0.865592
13062000 0.865592
13063000 0.865592
13064000 0.865592
13065000 0.865592
13066000 0.865592
13067000 0.865592
13068000 0.865592
13069000 0.865592
13070000 0.865592
13071000 0.865592
13072000 0.865592
13073000 0.865592
13074000 0.865592
13075000 0.865592
13076000 0.865592
13077000 0.865592
13078000 0.865592
13079000 0.865592
13080000 0.865592
13081000 0.865592
13082000 0.865592
13083000 0.865592
13084000 0.865592
13085000 0.865592
13086000 0.865592
13087000 0.865592
13088000 0.865592
13089000 0.865592
13090000 0.865592
13091000 0.865592
13092000 0.865592
13093000 0.865592
13094000 0.865592
13095000 0.865592
13096000 0.865592
13097000 0.865592
13098000 0.865592
13099000 0.865592
13100000 0.865592
13101000 0.865592
13102000 0.865592
13103000 0.865592
13104000 0.865592
13105000 0.865592
13106000 0.865592
13107000 0.865592
13108000 0.865592
13109000 0.865592
13110000 0.865592
13111000 0.865592
13112000 0.865592
13113000 0.865592
13114000 0.865592
13115000 0.865592
13116000 0.865592
13117000 0.865592
13118000 0.865592
13119000 0.865592
13120000 0.865592
13121000 0.865592
13122000 0.865592
13123000 0.865592
13124000 0.865592
13125000 0.865592
13126000 0.865592
13127000 0.865592
13128000 0.865592
13129000 0.865592
13130000 0.865592
13131000 0.865592
13132000 0.865592
13133000 0.865592
13134000 0.865592
13135000 0.865592
13136000 0.865592
13137000 0.865592
13138000 0.865592
13139000 0.865592
13140000 0.865592
13141000 0.865592
13142000 0.865592
13143000 0.865592
13144000 0.865592
13145000 0.865592
13146000 0.865592
13147000 0.865592
13148000 0.865592
13149000 0.865592
13150000 0.865592
13151000 0.865592
13152000 0.865592
13153000 0.865592
13154000 0.865592
13155000 0.865592
13156000 0.865592
13157000 0.865592
13158000 0.865592
13159000 0.865592
13160000 0.865592
13161000 0.865592
13162000 0.865592
13163000 0.865592
13164000 0.865592
13165000 0.865592
13166000 0.865592
13167000 0.865592
13168000 0.865592
13169000 0.865592
13170000 0.865592
13171000 0.865592
13172000 0.865592
13173000 0.865592
13174000 0.865592
13175000 0.865592
13176000 0.865592
13177000 0.865592
13178000 0.865592
13179000 0.865592
13180000 0.865592
13181000 0.865592
13182000 0.865592
13183000 0.865592
13184000 0.865592
13185000 0.865592
13186000 0.865592
13187000 0.865592
13188000 0.865592
13189000 0.865592
13190000 0.865592
13191000 0.865592
13192000 0.865592
13193000 0.865592
13194000 0.865592
13195000 0.865592
13196000 0.865592
13197000 0.865592
13198000 0.865592
13199000 0.865592
13200000 0.865592
13201000 0.865592
13202000 0.865592
13203000 0.865592
13204000 0.865592
13205000 0.865592
13206000 0.865592
13207000 0.865592
13208000 0.865592
13209000 0.865592
13210000 0.865592
13211000 0.865592
13212000 0.865592
13213000 0.865592
13214000 0.865592
13215000 0.865592
13216000 0.865592
13217000 0.865592
13218000 0.865592
13219000 0.865592
13220000 0.865592
13221000 0.865592
13222000 0.865592
13223000 0.865592
13224000 0.865592
13225000 0.865592
13226000 0.865592
13227000 0.865592
13228000 0.865592
13229000 0.865592
13230000 0.865592
13231000 0.865592
13232000 0.865592
13233000 0.865592
13234000 0.865592
13235000 0.865592
13236000 0.865592
13237000 0.865592
13238000 0.865592
13239000 0.865592
13240000 0.865592
13241000 0.865592
13242000 0.865592
13243000 0.865592
13244000 0.865592
13245000 0.865592
13246000 0.865592
13247000 0.865592
13248000 0.865592
13249000 0.865592
13250000 0.865592
13251000 0.865592
13252000 0.865592
13253000 0.865592
13254000 0.865592
13255000 0.865592
13256000 0.865592
13257000 0.865592
13258000 0.865592
13259000 0.865592
13260000 0.865592
13261000 0.865592
13262000 0.865592
13263000 0.865592
13264000 0.865592
13265000 0.865592
13266000 0.865592
13267000 0.865592
13268000 0.865592
13269000 0.865592
13270000 0.865592
13271000 0.865592
13272000 0.865592
13273000 0.865592
13274000 0.865592
13275000 0.865592
13276000 0.865592
13277000 0.865592
13278000 0.865592
13279000 0.865592
13280000 0.865592
13281000 0.865592
13282000 0.865592
13283000 0.865592
13284000 0.865592
