# Time-averaged data for fix dave
# TimeStep v_rho
116354000 0.817579
116355000 0.817565
116356000 0.817549
116357000 0.817538
116358000 0.817535
116359000 0.817538
116360000 0.817529
116361000 0.817529
116362000 0.817526
116363000 0.817519
116364000 0.817513
116365000 0.817506
116366000 0.817514
116367000 0.817505
116368000 0.817503
116369000 0.817499
116370000 0.817493
116371000 0.817477
116372000 0.817467
116373000 0.81746
116374000 0.817454
116375000 0.817442
116376000 0.817435
116377000 0.817425
116378000 0.817417
116379000 0.817418
116380000 0.817425
116381000 0.817417
116382000 0.817417
116383000 0.817406
116384000 0.817411
116385000 0.817415
116386000 0.81742
116387000 0.817416
116388000 0.81741
116389000 0.817405
116390000 0.817391
116391000 0.817385
116392000 0.817381
116393000 0.81738
116394000 0.817378
116395000 0.817368
116396000 0.817357
116397000 0.817353
116398000 0.817348
116399000 0.817344
116400000 0.817338
116401000 0.817335
116402000 0.817334
116403000 0.81733
116404000 0.817315
116405000 0.81731
116406000 0.8173
116407000 0.817296
116408000 0.817289
116409000 0.817282
116410000 0.817276
116411000 0.81727
116412000 0.817276
116413000 0.817274
116414000 0.81728
116415000 0.817275
116416000 0.817268
116417000 0.817268
116418000 0.817268
116419000 0.817271
116420000 0.817274
116421000 0.81728
116422000 0.817282
116423000 0.817286
116424000 0.817275
116425000 0.81727
116426000 0.817264
116427000 0.817252
116428000 0.817248
116429000 0.817241
116430000 0.817232
116431000 0.817221
116432000 0.817203
116433000 0.817196
116434000 0.817183
116435000 0.817173
116436000 0.817166
116437000 0.817158
116438000 0.817147
116439000 0.817134
116440000 0.817127
116441000 0.81712
116442000 0.817107
116443000 0.817101
116444000 0.817105
116445000 0.817101
116446000 0.817101
116447000 0.817104
116448000 0.817101
116449000 0.817104
116450000 0.817099
116451000 0.817093
116452000 0.817087
116453000 0.817071
116454000 0.81707
116455000 0.817068
116456000 0.817063
116457000 0.817058
116458000 0.817058
116459000 0.817051
116460000 0.817048
116461000 0.817037
116462000 0.817028
116463000 0.81702
116464000 0.817011
116465000 0.817008
116466000 0.816997
116467000 0.816991
116468000 0.81699
116469000 0.816991
116470000 0.816996
116471000 0.816992
116472000 0.816992
116473000 0.816991
116474000 0.816992
116475000 0.816991
116476000 0.816985
116477000 0.816983
116478000 0.816985
116479000 0.816979
116480000 0.816967
116481000 0.816961
116482000 0.816957
116483000 0.81695
116484000 0.816944
116485000 0.816948
116486000 0.816949
116487000 0.816954
116488000 0.816958
116489000 0.816961
116490000 0.816962
116491000 0.816962
116492000 0.816971
116493000 0.816969
116494000 0.816971
116495000 0.816971
116496000 0.816975
116497000 0.816979
116498000 0.816974
116499000 0.816977
116500000 0.816977
116501000 0.816981
116502000 0.816983
116503000 0.816987
116504000 0.816997
116505000 0.817001
116506000 0.817001
116507000 0.817002
116508000 0.817001
116509000 0.81699
116510000 0.816987
116511000 0.81699
116512000 0.816988
116513000 0.816988
116514000 0.816991
116515000 0.816991
116516000 0.816999
116517000 0.817
116518000 0.817004
116519000 0.817004
116520000 0.817012
116521000 0.817022
116522000 0.817026
116523000 0.817025
116524000 0.817025
116525000 0.817027
116526000 0.817025
116527000 0.817018
116528000 0.817018
116529000 0.817016
116530000 0.817013
116531000 0.817014
116532000 0.817013
116533000 0.817016
116534000 0.817014
116535000 0.817016
116536000 0.81702
116537000 0.817024
116538000 0.817034
116539000 0.817038
116540000 0.817034
116541000 0.817035
116542000 0.81703
116543000 0.817022
116544000 0.817011
116545000 0.816998
116546000 0.816992
116547000 0.81699
116548000 0.816992
116549000 0.816987
116550000 0.816984
116551000 0.816986
116552000 0.81698
116553000 0.816982
116554000 0.816981
116555000 0.81699
116556000 0.816987
116557000 0.816984
116558000 0.816988
116559000 0.816995
116560000 0.816993
116561000 0.816996
116562000 0.817002
116563000 0.817006
116564000 0.817008
116565000 0.817007
116566000 0.817009
116567000 0.817011
116568000 0.817021
116569000 0.817027
116570000 0.817021
116571000 0.817021
116572000 0.817025
116573000 0.817029
116574000 0.817027
116575000 0.817032
116576000 0.817029
116577000 0.817031
116578000 0.817033
116579000 0.817031
116580000 0.817038
116581000 0.817045
116582000 0.817049
116583000 0.817054
116584000 0.817055
116585000 0.817064
116586000 0.81707
116587000 0.817075
116588000 0.817081
116589000 0.81709
116590000 0.817099
116591000 0.817108
116592000 0.817116
116593000 0.817123
116594000 0.817128
116595000 0.817132
116596000 0.817137
116597000 0.817142
116598000 0.817147
116599000 0.817152
116600000 0.817155
116601000 0.817157
116602000 0.817158
116603000 0.817159
116604000 0.817156
116605000 0.817149
116606000 0.817147
116607000 0.81714
116608000 0.817133
116609000 0.817132
116610000 0.817128
116611000 0.817127
116612000 0.817132
116613000 0.817138
116614000 0.817138
116615000 0.817138
116616000 0.817131
116617000 0.817127
116618000 0.81713
116619000 0.817136
116620000 0.817145
116621000 0.817152
116622000 0.817153
116623000 0.817158
116624000 0.817166
116625000 0.817171
116626000 0.817182
116627000 0.817192
116628000 0.817202
116629000 0.817212
116630000 0.817217
116631000 0.817229
116632000 0.817239
116633000 0.81725
116634000 0.81726
116635000 0.817266
116636000 0.817273
116637000 0.817276
116638000 0.817279
116639000 0.817287
116640000 0.817294
116641000 0.8173
116642000 0.817303
116643000 0.817307
116644000 0.81731
116645000 0.817312
116646000 0.81732
116647000 0.817318
116648000 0.817322
116649000 0.817331
116650000 0.817337
116651000 0.817342
116652000 0.817351
116653000 0.817355
116654000 0.81736
116655000 0.817363
116656000 0.817369
116657000 0.81737
116658000 0.817373
116659000 0.817377
116660000 0.817375
116661000 0.817378
116662000 0.817376
116663000 0.817382
116664000 0.817388
116665000 0.817396
116666000 0.8174
116667000 0.817404
116668000 0.817408
116669000 0.817412
116670000 0.817421
116671000 0.817426
116672000 0.817431
116673000 0.817435
116674000 0.817444
116675000 0.817451
116676000 0.817452
116677000 0.81746
116678000 0.817461
116679000 0.817467
116680000 0.817471
116681000 0.817478
116682000 0.817481
116683000 0.817487
116684000 0.817491
116685000 0.817493
116686000 0.8175
116687000 0.817504
116688000 0.817509
116689000 0.817515
116690000 0.81752
116691000 0.817526
116692000 0.817528
116693000 0.817537
116694000 0.817541
116695000 0.817542
116696000 0.817545
116697000 0.81755
116698000 0.817557
116699000 0.817565
116700000 0.817573
116701000 0.81758
116702000 0.817585
116703000 0.817586
