# Spatial-averaged data for fix vpave and group all
# Timestep Number-of-bins
# Bin Coord Ncount vx
200000000 20
  1 0.025 187.805 1.55146e-05
  2 0.075 188.582 1.58152e-05
  3 0.125 186.661 1.84602e-05
  4 0.175 186.245 2.26821e-05
  5 0.225 187.279 2.34698e-05
  6 0.275 188.28 2.69271e-05
  7 0.325 188.379 2.92537e-05
  8 0.375 186.389 2.99042e-05
  9 0.425 187.977 3.34095e-05
  10 0.475 186.456 3.37092e-05
  11 0.525 187.035 3.95035e-05
  12 0.575 186.751 4.16188e-05
  13 0.625 188.509 4.35225e-05
  14 0.675 188.318 4.47986e-05
  15 0.725 187.022 4.72463e-05
  16 0.775 187.864 4.97355e-05
  17 0.825 187.249 5.21777e-05
  18 0.875 187.755 5.38161e-05
  19 0.925 187.293 5.85742e-05
  20 0.975 188.153 5.92652e-05
